alloc_strategy,mean_costper,median_costper,q025_costper,q975_costper,plot_alloc_strategy
allDistrict,2261.639811222816,2610.469109289193,1274.5858488685838,2906.684145451053,untargeted
hrDistrict2,1736.055432349889,2003.2028161020567,966.3573239787148,2259.917726813958,case-logistics optimized
hrDistrict2Incid,1729.217457702015,1995.5734286584623,962.9848823477276,2250.4306098786933,rate-logistics optimized
optimumDistrict,1555.8639491863605,1777.2844698870686,863.9350500120344,2074.701774750216,case optimized
optimumDistrictIncid,1340.1740816233273,1548.663798787482,750.4795873755311,1731.9754242401675,rate optimized
optimumSan,12041.727242657258,13734.77882921233,6637.308215111077,16209.238902500272,sanitation optimized
optimumWash,5925.937678158236,6784.912275782868,3260.121810874507,7942.769959436199,watsan optimized
optimumWat,3937.2585532308713,4545.565599665906,2212.475105371465,5082.444929868579,water optimized
