year,vaccines
2018,23000000
2019,26000000
2020,26000000
2021,26000000
2022,26000000
2023,26000000
2024,26000000
2025,26000000
2026,26000000
2027,26000000
2028,26000000
2029,26000000
2030,26000000
2031,0
2032,0
2033,0
2034,0
2035,0
