alloc_strategy,mean_costper,median_costper,q025_costper,q975_costper,plot_alloc_strategy
allDistrict,32106.45907583031,37062.297970432766,18091.15195933895,41263.11893258074,untargeted
hrDistrict2,4527.0408283668885,5223.725881428483,2521.3617678331807,5889.969229248016,case-logistics optimized
hrDistrict2Incid,4507.071757146381,5202.914645705483,2511.5949231212157,5864.40390086446,rate-logistics optimized
optimumDistrict,4060.6894065463575,4634.521896610275,2256.861673839243,5419.177598164293,case optimized
optimumDistrictIncid,3488.2987097535683,4034.3114603366175,1954.641480914368,4499.761439127971,rate optimized
optimumSan,31290.22349253779,35699.30706885873,17255.750165835623,42082.73461034369,sanitation optimized
optimumWash,15355.781475385507,17600.381680443643,8451.319733864626,20533.242451728514,watsan optimized
optimumWat,10273.090131459952,11861.752443626954,5770.859413729101,13260.897912898565,water optimized
