cntry,year,sCh,deaths,pop1k_nearyr,pop1k_fit
AGO,1971,1,NA,5890.359999999999,7105.669160865612
AGO,1972,268,24,5890.359999999999,7316.980203508222
AGO,1973,263,9,7023.993999999999,7534.575292836911
AGO,1974,934,34,7023.993999999999,7758.641306178385
AGO,1975,88,4,7023.993999999999,7989.370678287071
AGO,1977,726,31,7023.993999999999,8471.618021490365
AGO,1987,16222,1403,9961.993000000002,11356.260248706978
AGO,1988,15500,1542,11848.385,11693.976956218698
AGO,1989,17601,925,11848.385,12041.736809276113
AGO,1990,9527,809,11848.385,12399.838474691402
AGO,1991,8590,582,11848.385,12768.589501141922
AGO,1992,3608,184,11848.385,13148.306583302427
AGO,1994,3443,187,13945.204999999994,13941.953063450403
AGO,1995,3295,248,13945.204999999994,14356.564069340964
AGO,1996,1306,42,13945.204999999994,14783.504932133443
AGO,2005,0,0,19433.604000000003,19245.069529231383
AGO,2006,67257,2722,19433.604000000003,19817.38659267541
AGO,2007,18422,513,19433.604000000003,20406.72343464566
AGO,2008,10511,243,23356.247,21013.58619567084
AGO,2009,2019,88,23356.247,21638.49606807568
AGO,2010,1484,30,23356.247,22281.98974359689
AGO,2011,1810,110,23356.247,22944.619874310407
AGO,2012,1215,98,23356.247,23626.955547265978
AGO,2013,6655,86,27884.380000000005,24329.582773236514
AGO,2014,213,3,27884.380000000005,25053.10499000209
AGO,2016,78,3,27884.380000000005,26565.33840699158
AGO,2017,828,43,27884.380000000005,27355.34835958714
BDI,1978,8297,248,4157.296,4152.159678304078
BDI,1979,915,31,4157.296,4248.078907896599
BDI,1980,2039,28,4157.296,4346.213971974893
BDI,1981,582,11,4157.296,4446.616058632205
BDI,1982,415,9,4157.296,4549.33753846025
BDI,1983,512,35,4750.832,4654.431991866163
BDI,1984,180,10,4750.832,4761.9542370205045
BDI,1985,259,15,4750.832,4871.960358450885
BDI,1990,82,NA,5438.959,5461.304456561624
BDI,1991,3,NA,5438.959,5587.466299224079
BDI,1992,479,29,5438.959,5716.542612352403
BDI,1993,78,0,5987.044000000001,5848.600723261476
BDI,1994,562,41,5987.044000000001,5983.709514597418
BDI,1995,2297,NA,5987.044000000001,6121.939460267535
BDI,1996,418,NA,5987.044000000001,6263.362662200067
BDI,1997,1959,95,5987.044000000001,6408.05288795318
BDI,1998,1067,26,6378.870999999999,6556.085609192756
BDI,1999,3440,63,6378.870999999999,6707.538041059065
BDI,2000,1021,16,6378.870999999999,6862.489182442841
BDI,2001,1003,20,6378.870999999999,7021.019857191791
BDI,2002,577,8,6378.870999999999,7183.212756268999
BDI,2003,432,18,7364.857,7349.152480885253
BDI,2004,819,14,7364.857,7518.925586627755
BDI,2005,1309,18,7364.857,7692.620628608271
BDI,2006,886,7,7364.857,7870.328207654223
BDI,2007,365,2,7364.857,8052.141017566875
BDI,2008,234,4,8675.606000000002,8238.153893471208
BDI,2009,355,0,8675.606000000002,8428.463861282738
BDI,2010,333,1,8675.606000000002,8623.170188317072
BDI,2011,1072,1,8675.606000000002,8822.374435068583
BDI,2012,214,1,8675.606000000002,9026.180508185253
BDI,2013,1557,17,10160.034,9234.69471466726
BDI,2014,582,9,10160.034,9448.025817317628
BDI,2015,442,0,10160.034,9666.285091473843
BDI,2016,434,5,10160.034,9889.586383050024
BDI,2017,399,0,10160.034,10118.046167919929
BEN,1970,175,37,2912.338,3144.6551778836256
BEN,1971,2133,274,2912.338,3226.7003835340015
BEN,1972,250,29,2912.338,3310.8861786574475
BEN,1973,3,2,3265.167,3397.2684120175313
BEN,1974,73,4,3265.167,3485.904389492522
BEN,1975,45,1,3265.167,3576.852912092047
BEN,1976,146,14,3265.167,3670.174314965618
BEN,1977,2,0,3265.167,3765.930507428901
BEN,1978,27,0,3717.1609999999996,3864.1850140342876
BEN,1980,3,0,3717.1609999999996,4068.4513980167853
BEN,1981,2,0,3717.1609999999996,4174.598785487578
BEN,1982,3,0,3717.1609999999996,4283.5155971850845
BEN,1983,1,0,4278.502,4395.274088401971
BEN,1984,1,0,4278.502,4509.948399597962
BEN,1986,243,13,4278.502,4748.350765992873
BEN,1991,7474,259,4978.489,5400.95854846844
BEN,1992,413,17,4978.489,5541.871535664854
BEN,1993,10,2,5905.552000000001,5686.460994321365
BEN,1994,187,20,5905.552000000001,5834.822844925262
BEN,1995,203,12,5905.552000000001,5987.0555105644835
BEN,1996,6190,203,5905.552000000001,6143.259982221395
BEN,1997,796,16,5905.552000000001,6303.539885770087
BEN,1998,206,1,6865.946,6468.0015507216685
BEN,1999,855,25,6865.946,6636.754080763152
BEN,2000,468,11,6865.946,6809.90942613671
BEN,2001,3943,71,6865.946,6987.582457907349
BEN,2002,270,13,6865.946,7169.891044168245
BEN,2003,434,11,7982.223,7356.956128234306
BEN,2004,642,9,7982.223,7548.901808875834
BEN,2005,749,11,7982.223,7745.8554226455135
BEN,2006,91,1,7982.223,7947.947628353339
BEN,2008,985,5,9199.254,8368.087584444891
BEN,2009,74,1,9199.254,8586.414055211777
BEN,2010,983,8,9199.254,8810.436743585911
BEN,2011,755,4,9199.254,9040.304265971505
BEN,2012,625,3,9199.254,9276.169116229199
BEN,2013,528,6,10575.962000000001,9518.187766840327
BEN,2014,832,12,10575.962000000001,9766.520772710584
BEN,2016,761,13,10575.962000000001,10282.793123823698
BEN,2017,11,0,10575.962000000001,10551.074963574463
BFA,1970,1,1,5624.592000000001,5923.688799297034
BFA,1971,1761,495,5624.592000000001,6062.90229863136
BFA,1972,1,0,5624.592000000001,6205.387475302779
BFA,1973,1118,249,6154.554,6351.221217491399
BFA,1974,632,66,6154.554,6500.482220337855
BFA,1975,3,3,6154.554,6653.2510284090895
BFA,1978,1,0,6822.837000000001,7133.4383909470125
BFA,1984,2191,117,7727.907999999999,8200.284588184211
BFA,1985,1149,156,7727.907999999999,8393.000706761133
BFA,1991,537,61,8811.033,9648.22159698158
BFA,1995,1451,113,10089.880000000001,10587.675192609924
BFA,1996,425,58,10089.880000000001,10836.497736014453
BFA,1998,1036,52,11607.951000000003,11351.823096309678
BFA,1999,93,7,11607.951000000003,11618.603994261142
BFA,2000,617,14,11607.951000000003,11891.654550126403
BFA,2001,477,7,11607.951000000003,12171.122108076781
BFA,2003,1,NA,13421.935000000001,12749.915002085047
BFA,2005,1050,16,13421.935000000001,13356.232163057433
BFA,2006,0,0,13421.935000000001,13670.118979252264
BFA,2008,0,0,15605.210999999996,14320.196076103359
BFA,2011,20,2,15605.210999999996,15353.732486415876
BFA,2012,143,7,15605.210999999996,15714.562857439205
CAF,1997,443,75,3222.6620000000003,3232.2573819910053
CAF,1998,22,3,3640.4210000000003,3298.34378181419
CAF,2004,320,48,4038.379999999999,3724.2242282979423
CAF,2005,0,0,4038.379999999999,3800.36933133144
CAF,2006,0,0,4038.379999999999,3878.0712892588854
CAF,2011,117,15,4386.765,4291.071057620374
CAF,2012,21,0,4386.765,4378.805852245211
CAF,2017,0,0,4493.171,4845.131937504671
CIV,1970,868,39,5102.0700000000015,5328.519087184245
CIV,1971,668,9,5102.0700000000015,5516.831626308047
CIV,1979,3,0,8033.652000000002,7283.755500820797
CIV,1982,34,0,8033.652000000002,8083.60288428489
CIV,1991,604,116,11924.873000000001,11049.784379392064
CIV,1992,37,7,11924.873000000001,11440.289305659024
CIV,1993,724,42,14199.759000000002,11844.594872029427
CIV,1994,1108,55,14199.759000000002,12263.188800051423
CIV,1995,4993,184,14199.759000000002,12696.576047597639
CIV,1996,1345,22,14199.759000000002,13145.27941800538
CIV,2001,5912,305,16454.659999999996,15638.166777236507
CIV,2002,4188,143,16454.659999999996,16190.82744052392
CIV,2003,1034,50,18354.513,16763.019409052937
CIV,2004,105,9,18354.513,17355.432928954284
CIV,2005,39,6,18354.513,17968.782640003414
CIV,2006,414,15,18354.513,18603.808437704145
CIV,2007,8,1,18354.513,19261.276365838778
CIV,2008,7,1,20532.943999999996,19941.979540561395
CIV,2009,5,2,20532.943999999996,20646.73910714876
CIV,2010,32,0,20532.943999999996,21376.405230564756
CIV,2011,1261,24,20532.943999999996,22131.858121028952
CIV,2012,424,19,20532.943999999996,22914.00909583217
CIV,2013,56,2,23226.148,23723.801678675714
CIV,2014,235,12,23226.148,24562.212737862086
CIV,2015,199,6,23226.148,25430.253664709922
CMR,1971,2167,336,6519.753999999999,7015.3078918692045
CMR,1972,362,27,6519.753999999999,7207.165264608347
CMR,1973,206,16,7451.057000000001,7404.269627507023
CMR,1974,83,16,7451.057000000001,7606.76447729575
CMR,1975,3,0,7451.057000000001,7814.797235109738
CMR,1976,135,27,7451.057000000001,8028.519353814606
CMR,1978,3,0,8621.409,8473.658308596745
CMR,1979,16,4,8621.409,8705.399216570408
CMR,1980,229,23,8621.409,8943.47786516013
CMR,1981,243,17,8621.409,9188.067581364747
CMR,1982,5,3,8621.409,9439.346432397628
CMR,1983,55,18,10070.806,9697.497355323389
CMR,1984,392,60,10070.806,9962.708290241013
CMR,1985,1158,103,10070.806,10235.172317108238
CMR,1986,165,12,10070.806,10515.087796308979
CMR,1987,94,6,10070.806,10802.658513063898
CMR,1988,4,0,11780.086,11098.093825791468
CMR,1989,4,2,11780.086,11401.608818525747
CMR,1990,16,0,11780.086,11713.424457502491
CMR,1991,4026,491,11780.086,12033.767752028463
CMR,1992,1268,66,11780.086,12362.871919749039
CMR,1993,648,19,13599.984000000004,12700.976556436939
CMR,1994,527,61,13599.984000000004,13048.32781042305
CMR,1995,615,21,13599.984000000004,13405.178561799052
CMR,1996,5796,485,13599.984000000004,13771.788606519494
CMR,1997,1709,180,13599.984000000004,14148.42484554017
CMR,1998,4603,316,15513.944000000003,14535.36147912818
CMR,1999,1584,35,15513.944000000003,14932.880206486021
CMR,2000,123,29,15513.944000000003,15341.270430836124
CMR,2001,259,7,15513.944000000003,15760.829470112541
CMR,2002,66,8,15513.944000000003,16191.862773416433
CMR,2003,207,36,17733.408000000007,16634.684143389502
CMR,2004,8005,137,17733.408000000007,17089.61596467079
CMR,2005,2847,110,17733.408000000007,17556.989438599532
CMR,2006,922,35,17733.408000000007,18037.144824338568
CMR,2007,10,1,17733.408000000007,18530.431686590866
CMR,2008,0,0,20341.236000000004,19037.20915009065
CMR,2009,804,89,20341.236000000004,19557.846161055786
CMR,2010,10759,657,20341.236000000004,20092.72175578848
CMR,2011,22433,783,20341.236000000004,20642.225336623913
CMR,2012,363,5,20341.236000000004,21206.75695542344
CMR,2013,29,0,23298.375999999997,21786.727604822976
CMR,2014,3355,184,23298.375999999997,22382.55951744514
