cntry,year,sCh,deaths,pop1k_nearyr,pop1k_fit
CMR,2015,124,6,23298.375999999997,22994.686473294307
COD,1978,3481,183,26358.905,25516.571466971604
COD,1979,5515,511,26358.905,26259.647663925254
COD,1980,1051,81,26358.905,27024.363219254254
COD,1981,2379,800,26358.905,27811.34829959902
COD,1982,10328,693,26358.905,28621.251422883997
COD,1983,2977,245,29881.222,29454.73999272966
COD,1984,162,3,29881.222,30312.500848430303
COD,1985,740,30,29881.222,31195.240830945866
COD,1986,1059,125,29881.222,32103.68736537613
COD,1987,1150,218,29881.222,33038.58906039957
COD,1988,295,32,34612.023,34000.71632516529
COD,1989,99,6,34612.023,34990.86200415327
COD,1990,468,61,34612.023,36009.84203051894
COD,1991,4066,294,34612.023,37058.49609846776
COD,1992,1949,59,34612.023,38137.688355206294
COD,1993,986,175,41576.239,39248.30811304795
COD,1994,58057,4181,41576.239,40391.27058225189
COD,1995,553,22,41576.239,41567.51762520759
COD,1996,7886,638,41576.239,42778.01853257769
COD,1997,2421,326,41576.239,44023.77082204753
COD,1998,34899,2926,47105.83,45305.80106033239
COD,1999,12711,783,47105.83,46625.16570912257
COD,2000,14995,941,47105.83,47982.9519956667
COD,2001,5728,390,47105.83,49380.27880870274
COD,2002,31658,1979,47105.83,50818.29762048497
COD,2003,27272,989,54785.894,52298.1934356562
COD,2004,7665,228,54785.894,53821.185767757925
COD,2005,13430,244,54785.894,55388.52964417206
COD,2006,20642,426,54785.894,57001.51664033377
COD,2007,28269,600,54785.894,58661.47594405588
COD,2008,30150,548,64563.853,60369.77545085405
COD,2009,22899,237,64563.853,62127.822891162876
COD,2010,13884,182,64563.853,63937.066990384104
COD,2011,21700,584,64563.853,65798.99866271297
COD,2012,33661,819,64563.853,67715.15223972996
COD,2013,26944,491,76244.532,69687.10673477562
COD,2014,22203,372,76244.532,71716.4871441385
COD,2015,19182,276,76244.532,73804.96578614315
COD,2016,28093,759,76244.532,75954.26367922606
COD,2017,56190,1190,76244.532,78166.15196015139
COG,1978,51,14,1777.932,1702.3323754373414
COG,1979,5,0,1777.932,1750.4890275879497
COG,1997,275,60,2707.532,2892.2112212523743
COG,1998,3222,22,3127.4199999999996,2974.0279168269712
COG,1999,4813,20,3127.4199999999996,3058.1590946999413
COG,2000,9,2,3127.4199999999996,3144.6702284066296
COG,2005,0,0,3622.7749999999987,3615.349435106323
COG,2006,175,10,3622.7749999999987,3717.6227206652525
COG,2007,7785,133,3622.7749999999987,3822.789177445046
COG,2008,156,4,4273.737999999999,3930.9306492983537
COG,2009,93,0,4273.737999999999,4042.13129532833
COG,2011,762,NA,4273.737999999999,4274.05871740822
COG,2012,1181,37,4273.737999999999,4394.965986690828
COG,2013,1624,221,4856.092999999999,4519.2935570811005
COG,2016,15,2,4856.092999999999,4913.779394102808
ETH,1970,850,72,28415.079999999998,28931.510365488208
ETH,1971,2187,124,28415.079999999998,29726.735193566714
ETH,1979,NA,0,35141.703,36928.02471493649
ETH,1982,0,0,35141.703,40057.551670527144
ETH,2004,16,0,76346.31000000001,72737.5679308644
ETH,2005,0,0,76346.31000000001,74736.86624685103
ETH,2006,54070,575,76346.31000000001,76791.11819780256
ETH,2007,24121,272,76346.31000000001,78901.83426465707
ETH,2008,3862,23,87639.96200000001,81070.56644612788
ETH,2009,31509,434,87639.96200000001,83298.90939988024
ETH,2010,1682,21,87639.96200000001,85588.50161507496
GAB,1979,5,2,726.335,774.542048085786
GAB,1981,7,0,726.335,811.2406323579069
GAB,2002,6,NA,1228.359,1319.0127570646166
GAB,2003,629,0,1390.5500000000002,1349.8992112729595
GAB,2005,0,0,1390.5500000000002,1413.858798859202
GAB,2006,0,0,1390.5500000000002,1446.966200447349
GAB,2008,2,0,1624.1460000000002,1515.5249199865448
GHA,1970,2733,180,8735.493,8651.703731967133
GHA,1971,13048,641,8735.493,8881.420351679808
GHA,1972,625,32,8735.493,9117.236316331526
GHA,1973,677,39,9985.946,9359.313573319678
GHA,1974,483,37,9985.946,9607.818370004912
GHA,1975,187,10,9985.946,9862.921367882125
GHA,1976,102,0,9985.946,10124.797759782874
GHA,1977,6565,353,9985.946,10393.627390189364
GHA,1978,1853,120,11056.112,10669.594878743652
GHA,1979,1783,113,11056.112,10952.889747035533
GHA,1980,260,21,11056.112,11243.706548757182
GHA,1981,943,62,11056.112,11542.245003313637
GHA,1982,11051,1225,11056.112,11848.710132980434
GHA,1983,14160,819,12783.617000000002,12163.31240370382
GHA,1984,1015,92,12783.617000000002,12486.267869638627
GHA,1985,60,0,12783.617000000002,12817.79832152434
GHA,1990,2937,60,14773.273999999998,14612.259142376088
GHA,1991,13172,409,14773.273999999998,15000.238074681502
GHA,1992,228,23,14773.273999999998,15398.518470329864
GHA,1993,1448,38,17014.058,15807.373849706353
GHA,1994,2267,54,17014.058,16227.084995601368
GHA,1995,4698,93,17014.058,16657.940146039153
GHA,1996,1665,70,17014.058,17100.23519222575
GHA,1997,379,12,17014.058,17554.27388175397
GHA,1998,3426,108,19278.850000000006,18020.3680272026
GHA,1999,9432,260,19278.850000000006,18498.83772027497
GHA,2000,3331,74,19278.850000000006,18990.011551622465
GHA,2001,5487,160,19278.850000000006,19494.22683650605
GHA,2002,3614,65,19278.850000000006,20011.829846448105
GHA,2003,204,4,21814.648,20543.17604703568
GHA,2004,407,6,21814.648,21088.63034203781
GHA,2005,3166,51,21814.648,21648.567324003827
GHA,2006,3357,107,21814.648,22223.371531516877
GHA,2007,179,18,21814.648,22813.43771327653
GHA,2008,1223,25,24779.614,23419.17109919387
GHA,2009,1294,9,24779.614,24040.987678684676
GHA,2010,438,3,24779.614,24679.31448635084
GHA,2011,10628,105,24779.614,25334.58989524883
GHA,2012,9548,100,24779.614,26007.263917943164
GHA,2013,50,0,27849.203,26697.79851555438
GHA,2014,28944,243,27849.203,27406.66791501163
GHA,2015,692,8,27849.203,28134.358934730717
GHA,2016,175,0,27849.203,28881.371318937523
GHA,2017,0,0,27849.203,29648.218080869196
GIN,1970,2000,60,4154.606,4257.510269801219
GIN,1986,286,58,5470.7159999999985,6000.13438923497
GIN,1994,31415,671,7269.630999999998,7123.010990220068
GIN,1995,6506,565,7269.630999999998,7277.403310824119
GIN,1996,287,17,7269.630999999998,7435.142107896423
GIN,1998,881,53,8240.735,7760.950845157481
GIN,1999,599,28,8240.735,7929.170606817685
GIN,2000,519,32,8240.735,8101.036556783683
GIN,2001,392,22,8240.735,8276.627726728157
GIN,2002,61,11,8240.735,8456.024861347254
GIN,2003,6,1,9109.585,8639.310455490162
GIN,2004,1516,117,9109.585,8826.568792094413
GIN,2005,3821,107,9109.585,9017.885980942474
GIN,2006,3242,219,9109.585,9213.349998259384
GIN,2007,8546,311,9109.585,9413.050727167658
GIN,2008,513,32,10192.168000000001,9617.079999020101
GIN,2009,42,0,10192.168000000001,9825.53163562745
GIN,2011,3,0,10192.168000000001,10256.087502437724
GIN,2012,7350,133,10192.168000000001,10478.389721540525
GIN,2013,319,32,11432.095999999998,10705.510374242596
GIN,2014,1,0,11432.095999999998,10937.553900807336
GMB,1985,2,0,755.7909999999999,800.6477421833157
GMB,1994,1,0,1128.577,1061.5524778572476
GMB,1995,15,0,1128.577,1095.3491557329214
GMB,1996,7,0,1128.577,1130.2218194493794
GMB,2005,214,13,1543.745,1498.5238947818339
GMB,2006,0,0,1543.745,1546.2324446814655
GMB,2007,12,1,1543.745,1595.45989310614
GMB,2008,1,0,1793.199,1646.254597273468
GNB,1986,200,50,872.1629999999999,959.1258690602735
GNB,1987,6000,68,872.1629999999999,976.8890962325416
GNB,1994,15296,285,1088.85,1110.7923092649658
GNB,1995,119,0,1088.85,1131.3644330780858
GNB,1996,8397,84,1088.85,1152.3175572588282
GNB,1997,20555,905,1088.85,1173.6587380198357
GNB,1998,126,2,1201.3050000000003,1195.3951622564066
GNB,2002,842,6,1201.3050000000003,1286.4417425536546
GNB,2003,290,2,1344.931,1310.2669334425723
GNB,2004,155,3,1344.931,1334.5333722342257
GNB,2005,25111,399,1344.931,1359.2492309391896
GNB,2006,37,0,1344.931,1384.4228329154876
GNB,2007,153,8,1344.931,1410.062655671637
GNB,2008,14323,225,1522.603,1436.1773337215238
GNB,2009,5,0,1522.603,1462.7756614921457
GNB,2012,3068,22,1522.603,1545.5629486749472
GNB,2013,969,28,1737.207,1574.1871226775124
GNB,2014,11,2,1737.207,1603.34142283122
GNQ,1984,404,31,352.11600000000004,424.06277901303446
GNQ,1985,108,1,352.11600000000004,435.33835341159494
GNQ,2004,59,1,749.527,716.7466291962662
GNQ,2005,6391,33,749.527,735.804491244969
GNQ,2006,0,0,749.527,755.369090390264
KEN,1971,239,38,11301.394,11994.063798803965
KEN,1972,51,0,11301.394,12388.795073414696
KEN,1974,402,20,13575.897999999997,13217.657631686423
KEN,1975,1093,74,13575.897999999997,13652.658056216676
KEN,1976,1359,59,13575.897999999997,14101.974585356056
KEN,1977,21,0,13575.897999999997,14566.078370026566
KEN,1978,673,17,16417.203000000005,15045.456066988103
KEN,1979,1070,2,16417.203000000005,15540.61034914343
KEN,1980,2808,42,16417.203000000005,16052.06043263849
KEN,1981,2424,108,16417.203000000005,16580.342621310498
KEN,1982,3498,91,16417.203000000005,17126.01086905195
KEN,1983,1049,53,19877.078000000005,17689.6373606846
KEN,1984,14,0,19877.078000000005,18271.813111949232
KEN,1985,1352,102,19877.078000000005,18873.148589241322
KEN,1986,839,45,19877.078000000005,19494.274349743933
KEN,1987,255,12,19877.078000000005,20135.841702625035
KEN,1989,918,32,23724.574000000004,21483.014302356336
KEN,1992,3388,100,23724.574000000004,23674.638780351204
KEN,1994,880,28,27768.297,25258.571806069584
KEN,1995,1547,39,27768.297,26089.84537698812
KEN,1996,482,14,27768.297,26948.47662097753
KEN,1997,17200,555,27768.297,27835.36589419256
KEN,1998,22432,1237,31964.557,28751.443184006665
KEN,1999,11039,350,31964.557,29697.669084193443
KEN,2000,1157,78,31964.557,30675.035802197755
KEN,2001,1001,55,31964.557,31684.568199560752
KEN,2002,291,10,31964.557,32727.32486658339
KEN,2004,870,15,36624.897,34916.920711341554
KEN,2005,816,21,36624.897,36066.05588763135
KEN,2006,870,11,36624.897,37253.009738262546
KEN,2007,1206,67,36624.897,38479.026896728064
KEN,2008,3091,113,42030.68400000001,39745.39295809925
KEN,2009,11425,264,42030.68400000001,41053.43582709077
KEN,2010,3188,63,42030.68400000001,42404.52711049659
KEN,2011,74,2,42030.68400000001,43800.08355544841
KEN,2014,35,9,47878.33900000002,48268.419977298305
KEN,2015,13291,67,47878.33900000002,49856.9603803421
KEN,2016,5866,80,47878.33900000002,51497.78052681346
KEN,2017,4288,82,47878.33900000002,53192.600971990665
LBR,1970,168,27,1400.73,1414.9486943284744
LBR,1971,606,106,1400.73,1449.2540374556775
LBR,1972,947,28,1400.73,1484.3911114942396
LBR,1973,1336,27,1600.4540000000002,1520.3800817084195
LBR,1974,512,12,1600.4540000000002,1557.2416022680113
LBR,1975,704,16,1600.4540000000002,1594.9968281019042
LBR,1976,646,10,1600.4540000000002,1633.667427038924
LBR,1977,512,18,1600.4540000000002,1673.2755922430244
LBR,1978,422,9,1852.991,1713.8440549500742
LBR,1979,438,6,1852.991,1755.3960975133436
LBR,1980,2690,55,1852.991,1797.955566765273
LBR,1981,1582,33,1852.991,1841.546887703323
LBR,1982,670,8,1852.991,1886.1950775074479
LBR,1983,183,12,2145.7560000000003,1931.9257598976133
LBR,1984,492,8,2145.7560000000003,1978.765179839284
LBR,1985,355,3,2145.7560000000003,2026.7402186054383
LBR,1986,59,0,2145.7560000000003,2075.878409203903
LBR,1987,33,1,2145.7560000000003,2126.2079521785117
LBR,1988,68,1,2075.9170000000004,2177.7577317935716
LBR,1989,28,0,2075.9170000000004,2230.557332610585
LBR,1991,132,40,2075.9170000000004,2340.027939865917
LBR,1994,764,17,2044.657,2514.3893094313244
LBR,1995,3420,126,2044.657,2575.3505219198973
LBR,1996,8922,169,2044.657,2637.789735215321
LBR,1997,91,0,2044.657,2701.74278335529
LBR,1998,2123,17,2848.447,2767.246369171458
LBR,1999,215,0,2848.447,2834.3380853534068
LBR,2000,365,10,2848.447,2903.0564360231424
LBR,2001,1062,0,2848.447,2973.440858832652
LBR,2002,1115,0,2848.447,3045.531747597428
LBR,2003,34740,38,3218.1139999999996,3119.3704754784226
LBR,2004,2786,4,3218.1139999999996,3194.9994187263674
LBR,2005,3823,18,3218.1139999999996,3272.46198100156
LBR,2006,4929,17,3218.1139999999996,3351.8026182832746
LBR,2007,3063,7,3218.1139999999996,3433.0668643833087
LBR,2008,1236,3,3891.357,3516.3013570778967
LBR,2009,1070,2,3891.357,3601.5538648731845
LBR,2010,1546,0,3891.357,3688.8733144198804
LBR,2011,1146,NA,3891.357,3778.3098185921945
LBR,2012,219,0,3891.357,3869.914705247934
LBR,2013,92,0,4472.228999999999,3963.7405466856303
LBR,2014,44,0,4472.228999999999,4059.84118981584
LBR,2017,0,0,4472.228999999999,4362.350171873051
MDG,1971,2,0,6576.305000000002,6946.821971966261
MDG,1996,0,0,13475.403000000002,14001.128241389295
MDG,1999,9973,549,15766.805999999999,15229.591594190751
MDG,2000,29305,1672,15766.805999999999,15662.581063963808
MDG,2001,7219,413,15766.805999999999,16107.880770670869
MDG,2002,27,0,15766.805999999999,16565.840704194023
MDG,2003,5,0,18336.721999999998,17036.82080490717
MDG,2005,0,0,18336.721999999998,18019.33272730769
MDG,2006,0,0,18336.721999999998,18531.636768752593
MLI,1970,2665,201,5949.042,6228.781412682668
MLI,1971,4792,1321,5949.042,6359.598460243381
MLI,1972,2,0,5949.042,6493.162931224292
MLI,1973,219,32,6482.282,6629.532527091615
MLI,1974,130,21,6482.282,6768.766161159425
MLI,1984,1795,406,7831.887999999998,8332.504601048737
MLI,1985,3759,838,7831.887999999998,8507.504103917114
MLI,1986,1916,151,7831.887999999998,8686.178951411202
MLI,1987,352,84,7831.887999999998,8868.606333225236
MLI,1995,2191,231,9585.66,10472.93042801582
MLI,1996,5723,761,9585.66,10692.883216070348
MLI,1997,6,3,9585.66,10917.455458947525
MLI,1999,6,3,10946.448,11380.848418438773
MLI,2000,1885,51,10946.448,11619.869326413604
MLI,2001,67,9,10946.448,11863.910158417699
MLI,2002,18,2,10946.448,12113.076343040851
MLI,2003,1455,119,12775.508999999998,12367.475523087154
MLI,2004,2839,205,12775.508999999998,12627.217602077984
MLI,2005,1178,76,12775.508999999998,12892.414791731753
MLI,2006,7,0,12775.508999999998,13163.181660440352
MLI,2008,153,5,15049.351999999999,13721.894789968466
MLI,2011,2220,95,15049.351999999999,14604.742375161506
MLI,2012,219,19,15049.351999999999,14911.47159735147
MLI,2013,23,2,17438.772000000004,15224.642755546089
MLI,2017,0,0,17438.772000000004,16544.495603851778
MOZ,1973,453,87,10165.216,9719.82930567723
MOZ,1974,1018,138,10165.216,9950.220154200852
MOZ,1975,11,3,10165.216,10186.071998119984
MOZ,1976,3,2,10165.216,10427.514280383064
MOZ,1977,18,3,10165.216,10674.679512147619
MOZ,1979,4564,547,11630.194,11186.724647940302
MOZ,1980,1212,85,11630.194,11451.88557852719
MOZ,1981,1753,132,11630.194,11723.331665969492
MOZ,1982,2301,199,11630.194,12001.211888461565
MOZ,1983,10745,447,12764.385,12285.678755454739
MOZ,1984,521,11,12764.385,12576.888391359002
MOZ,1985,3,0,12764.385,12875.000621229092
MOZ,1986,1,0,12764.385,13180.179058481634
MOZ,1989,371,12,12987.291999999998,14139.80647479551
MOZ,1990,4152,194,12987.291999999998,14474.964830898036
MOZ,1991,7847,328,12987.291999999998,14818.067505323948
MOZ,1992,30802,727,12987.291999999998,15169.302803667906
MOZ,1993,19803,507,15483.277,15528.863494966003
MOZ,1994,692,27,15483.277,15896.946917493085
MOZ,1996,0,0,15483.277,16659.494807928102
MOZ,1997,8739,259,15483.277,17054.377786226043
MOZ,1998,42672,1353,17711.925000000003,17458.620746224944
MOZ,1999,44329,1194,17711.925000000003,17872.44554924134
MOZ,2000,17649,238,17711.925000000003,18296.07931541014
MOZ,2001,8794,102,17711.925000000003,18729.75454833548
MOZ,2002,24375,342,17711.925000000003,19173.709262695513
MOZ,2003,13758,102,20493.926999999996,19628.18711487317
MOZ,2004,20080,110,20493.926999999996,20093.437536681988
MOZ,2005,2226,24,20493.926999999996,20569.715872262284
MOZ,2006,6306,29,20493.926999999996,21057.283518222255
MOZ,2007,2622,22,20493.926999999996,21556.40806710009
MOZ,2008,9087,102,23531.567000000003,22067.363454228114
MOZ,2009,19679,155,23531.567000000003,22590.430108076573
MOZ,2010,7430,117,23531.567000000003,23125.89510416178
MOZ,2011,1279,5,23531.567000000003,23674.05232260241
MOZ,2012,647,7,23531.567000000003,24235.202609409524
MOZ,2013,1869,19,27042.001000000004,24809.65394160138
MOZ,2014,480,1,27042.001000000004,25397.72159623029
MOZ,2015,8739,64,27042.001000000004,25999.728323416795
MOZ,2016,883,2,27042.001000000004,26616.004523485324
MOZ,2017,5892,10,27042.001000000004,27246.88842829759
MRT,1971,1139,53,1146.7760000000003,1175.329755861606
MRT,1972,148,24,1146.7760000000003,1208.8671120978545
MRT,1973,150,22,1330.594,1243.3614374380659
MRT,1984,166,15,1780.033,1694.355499769779
MRT,1985,259,20,1780.033,1742.7029560502374
