alloc_strategy,mean_costper,median_costper,q025_costper,q975_costper,plot_alloc_strategy
allDistrict,21213.376138420303,24488.37055516871,11952.68710866669,27263.099515198923,untargeted
hrDistrict2,3540.401974874646,4130.459577024687,1905.8267057413732,4667.71743332176,case-logistics optimized
hrDistrict2Incid,3535.5977203285724,4119.445798513727,1905.9542992011943,4665.394344350123,rate-logistics optimized
optimumDistrict,2934.933214358239,3425.4383086127236,1592.5316164856972,3879.8541201771823,case optimized
optimumDistrictIncid,2604.8956781607594,3038.8802730038033,1427.4371988988378,3437.8391251751627,rate optimized
optimumSan,19596.27080496514,22420.917185551938,10780.373087202348,26247.35301063612,sanitation optimized
optimumWash,11320.209814145303,12981.63271722635,6279.0546007208995,14953.831651473982,watsan optimized
optimumWat,7506.706976130183,8684.114139523284,4207.346481205768,9679.29995410811,water optimized
