alloc_strategy,median,mean,ci_lower,ci_upper
allDistrict,3.581163679595825,3.580993431277033,3.5770136807130375,3.5839157059760884
hrDistrict2,31.961844984015347,31.880085637417107,31.11919914380099,32.79684686162037
hrDistrict2Incid,32.022656839644824,31.943722537284238,31.2027147876515,32.86119110716944
optimumDistrict,36.277537382379435,35.88045959621947,33.77067869834187,37.19695413322086
optimumDistrictIncid,42.901673996613724,42.74591041474857,41.67538121183846,43.71168737961927
optimumSan,5.698884591711114,5.654097759765884,5.372505774961596,5.817359931953616
optimumWash,10.247925266879568,10.176902125088269,9.763897320905384,10.426147141719975
optimumWat,14.162533088011234,14.142376752919018,13.900563443774868,14.37246267017692
