alloc_strategy,mean_costper,median_costper,q025_costper,q975_costper,plot_alloc_strategy
allDistrict,21282.532944094284,24568.198881481243,11991.658765443204,27351.98094520522,untargeted
hrDistrict2,2402.8291142776875,2771.9873390097723,1337.421445539032,3128.3303214381344,case-logistics optimized
hrDistrict2Incid,2392.9087308934772,2759.6914504591155,1332.7750615908767,3115.5887645696007,rate-logistics optimized
optimumDistrict,2166.687992415172,2474.3315758507315,1203.6142824600897,2889.282384321344,case optimized
optimumDistrictIncid,1850.1276318130567,2138.156994387739,1035.823752810177,2391.233732764016,rate optimized
optimumSan,16610.394326514346,18948.48490725644,9157.17696044391,22329.682280345958,sanitation optimized
optimumWash,8195.47398825643,9389.160988380856,4513.237255234893,10965.395974302754,watsan optimized
optimumWat,5416.344143639465,6254.946726093883,3041.8281534531584,6993.832339780207,water optimized
