cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
GHA,2019,Ghana_Greater Accra_Accra,0.0011446615159299226,2785.4642716256717,2433439.259432743,70,FALSE,1,3312382.8444947684,3312382.8444947684,3312382.8444947684,1656191.4222473842,TRUE
SLE,2019,Sierra Leone_Western_Western Urban,0.00349274263032371,2760.3761845654135,790317.6605685314,14,FALSE,2,1075775.6333637373,4388158.477858506,1075775.6333637373,537887.8166818686,TRUE
COD,2019,Democratic Republic of the Congo_Katanga_Tanganika,9.481832498198907e-4,2327.4323608997584,2454622.9448177437,28,FALSE,3,3341217.949287484,7729376.42714599,3341217.949287484,1670608.974643742,TRUE
TCD,2019,Chad_Chari-Baguirmi_N'Djamena,0.007017993322740853,2235.910096405917,318596.78309478506,8,FALSE,4,433672.0197735243,8163048.446919514,433672.0197735243,216836.00988676216,TRUE
SSD,2019,South Sudan_Eastern Equatoria_Amatonge,0.0052007459140437666,1996.8297131764853,383950.6382698628,5,FALSE,5,522631.29330558114,8685679.740225095,522631.29330558114,261315.64665279057,TRUE
COD,2019,Democratic Republic of the Congo_Katanga_Haut-Lomami,5.34710427643056e-4,1905.243472122625,3563131.3204807425,23,FALSE,6,4850112.865111604,13535792.6053367,4850112.865111604,2425056.432555802,TRUE
COD,2019,Democratic Republic of the Congo_Katanga_Haut-Shaba,7.533782026518266e-4,1724.6083982704063,2289166.8383820145,24,FALSE,7,3116000.0950303096,16651792.70036701,3116000.0950303096,1558000.0475151548,TRUE
SSD,2019,South Sudan_Central Equatoria_Bahr al Jabal,0.002713271572656502,1655.0463580181035,609981.8295732504,1,FALSE,8,830303.5877718853,17482096.288138896,830303.5877718853,415151.79388594266,TRUE
GHA,2019,Ghana_Volta_North Tongu,0.009111308079883142,1645.2444387415153,180571.70543646204,122,FALSE,9,245793.11645868962,17727889.404597584,245793.11645868962,122896.55822934481,TRUE
SLE,2019,Sierra Leone_Northern_Port Loko,0.0024772533593887935,1536.8439234983668,620382.213903849,7,FALSE,10,844460.5282006585,18572349.932798244,844460.5282006585,422230.26410032925,TRUE
SOM,2019,Somalia_Bari_Bosaaso,0.004077929451318911,1307.6424037763404,320663.32176330657,12,FALSE,11,436484.97974635364,19008834.912544597,436484.97974635364,218242.48987317682,TRUE
KEN,2019,Kenya_Garissa_Daadab,0.005860374542754075,1191.0774062773771,203242.53980491016,40,FALSE,12,276652.51947906136,19285487.43202366,276652.51947906136,138326.25973953068,TRUE
COD,2019,Democratic Republic of the Congo_Orientale_Ituri,2.2695413120702953e-4,1160.268388732706,5112347.515165076,36,FALSE,13,6958896.606392278,26244384.038415935,0,0,FALSE
TCD,2019,Chad_Mayo-Kebbi Est_Mayo-Boneye,0.0028742904239734274,1151.9070226517101,400762.2239715465,33,FALSE,14,545515.122376372,26789899.160792306,0,0,FALSE
GIN,2019,Guinea_Conakry_Conakry,5.988588543768311e-4,1140.4839808401243,1904428.6854986975,6,FALSE,15,2592296.841582192,29382196.0023745,0,0,FALSE
KEN,2019,Kenya_Migori_Nyatike,0.002796566710986181,1078.5585281866206,385672.3760422213,172,FALSE,16,524974.9123779588,29907170.914752457,0,0,FALSE
ZMB,2019,Zambia_Lusaka_Lusaka,4.6065434858410506e-4,1074.0619285565465,2331600.5413990943,34,FALSE,17,3173760.595670431,33080931.51042289,0,0,FALSE
SOM,2019,Somalia_Jubbada Hoose_Kismaayo,0.004149342599990761,1008.6380313800714,243083.8155861888,41,FALSE,18,330884.22380007064,33411815.73422296,0,0,FALSE
TCD,2019,Chad_Hadjer-Lamis_Dagana,0.0036830948347060907,996.5794097272169,270582.0660213175,16,FALSE,19,368314.6764575057,33780130.410680465,0,0,FALSE
GHA,2019,Ghana_Greater Accra_Dangbe East,0.006062836546380381,984.1945489709682,162332.3573779256,71,FALSE,20,220965.8258782177,34001096.23655868,0,0,FALSE
COD,2019,Democratic Republic of the Congo_Bandundu_Mai-Ndombe,5.159523650472913e-4,956.9977718781258,1854818.0737390532,10,FALSE,21,2524767.1760437796,36525863.41260246,0,0,FALSE
CMR,2019,Cameroon_Extrême-Nord_Mayo Danay,0.001138691744877014,937.7271496196505,823512.7319035153,22,FALSE,22,1120960.5642739965,37646823.97687646,0,0,FALSE
ETH,2019,Ethiopia_Tigray_Mehakelegnaw,4.815989238970396e-4,916.1935281267898,1902399.4503830362,75,FALSE,23,2589534.658980548,40236358.63585701,0,0,FALSE
CMR,2019,Cameroon_Sud-Ouest_Fako,0.0013687304315345159,884.1866321039793,645990.336543257,49,FALSE,24,879318.1503014321,41115676.78615844,0,0,FALSE
SSD,2019,South Sudan_Upper Nile_Tonga,0.002794226976005681,850.4266132862547,304351.3002304239,35,FALSE,25,414281.15440939204,41529957.94056783,0,0,FALSE
ETH,2019,Ethiopia_Amhara_Mirab Gojjam,2.1890842717764764e-4,850.2544289171473,3884064.400257887,11,FALSE,26,5286965.037839553,46816922.97840738,0,0,FALSE
SOM,2019,Somalia_Mudug_Xarardheere,0.008504057307947397,843.6646941857969,99207.31524202653,46,FALSE,27,135040.3992136938,46951963.37762108,0,0,FALSE
TZA,2019,Tanzania_Dar es Salaam_Ilala,7.121516079146316e-4,795.8139918203105,1117478.3332311285,10,FALSE,28,1521104.7679703564,48473068.14559144,0,0,FALSE
SOM,2019,Somalia_Shabeellaha Hoose_Afgooye,0.0013259067969428905,782.493771265297,590157.4477704412,57,FALSE,29,803318.7588176394,49276386.90440907,0,0,FALSE
SOM,2019,Somalia_Bay_Baydhabo,0.0014777758501285806,773.6219667597423,523504.26940082276,17,FALSE,30,712590.8543890571,49988977.75879813,0,0,FALSE
