cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
SLE,2025,Sierra Leone_Western_Western Urban,0.0034927407749240037,3255.7186465849527,932138.6430848971,14,FALSE,1,1268821.4994792156,1268821.4994792156,1268821.4994792156,634410.7497396078,TRUE
GHA,2025,Ghana_Greater Accra_Accra,0.0011446615656229566,3222.7148149648965,2815430.2649368728,70,FALSE,2,3832346.6974976743,5101168.19697689,3832346.6974976743,1916173.3487488371,TRUE
COD,2025,Democratic Republic of the Congo_Katanga_Tanganika,9.482110305028559e-4,2812.607098724421,2966224.8257466876,28,FALSE,3,4037607.344268857,9138775.541245747,4037607.344268857,2018803.6721344285,TRUE
TCD,2025,Chad_Chari-Baguirmi_N'Djamena,0.007028084599229063,2735.57138288498,389234.27062688675,8,FALSE,4,529823.341805737,9668598.883051485,529823.341805737,264911.6709028685,TRUE
SSD,2025,South Sudan_Eastern Equatoria_Amatonge,0.005200774689636352,2511.3428333730208,482878.6062156095,5,FALSE,5,657291.4466642505,10325890.329715734,657291.4466642505,328645.7233321252,TRUE
COD,2025,Democratic Republic of the Congo_Katanga_Haut-Lomami,5.347388411343977e-4,2302.6377956644246,4306097.890289019,23,FALSE,6,5861434.479294709,16187324.809010442,5861434.479294709,2930717.2396473545,TRUE
COD,2025,Democratic Republic of the Congo_Katanga_Haut-Shaba,0.00075336472267687935,2083.838654996904,2766042.2532031266,24,FALSE,7,3765120.0337720704,19952444.842782512,3765120.0337720704,1882560.0168860352,TRUE
SSD,2025,South Sudan_Central Equatoria_Bahr al Jabal,0.0027134660819492203,2082.259361218079,767379.9112765348,1,FALSE,8,1044552.9073591265,20996997.75014164,1044552.9073591265,522276.45367956324,TRUE
GHA,2025,Ghana_Volta_North Tongu,0.009111403947926502,1903.4869042269615,208912.5797852637,122,FALSE,9,284370.5437057686,21281368.29384741,284370.5437057686,142185.2718528843,TRUE
SLE,2025,Sierra Leone_Northern_Port Loko,0.0024772645230257194,1812.5823101667213,731687.0254747126,7,FALSE,10,995967.9664602824,22277336.260307692,995967.9664602824,497983.9832301412,TRUE
SOM,2025,Somalia_Bari_Bosaaso,0.004078158776973636,1525.1447423091888,373978.75505008776,12,FALSE,11,509057.62600468134,22786393.886312373,509057.62600468134,254528.81300234067,TRUE
KEN,2025,Kenya_Garissa_Daadab,0.005860974829469767,1392.4605967421285,237581.7397714541,40,FALSE,12,323394.8313826551,23109788.717695028,323394.8313826551,161697.41569132754,TRUE
