cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
COD,2023,Democratic Republic of the Congo_Katanga_Tanganika,9.481963660711783e-4,2640.580971881741,2784846.1208756845,28,FALSE,1,3790715.745046676,3790715.745046676,3790715.745046676,1895357.872523338,TRUE
TZA,2023,Tanzania_Tanga_Korogwe Township Authority,9.436080926754711e-4,86.74585470068254,91929.9605143557,171,FALSE,2,125134.50784623928,3915850.2528929156,125134.50784623928,62567.25392311964,TRUE
TCD,2023,Chad_Mayo-Kebbi Ouest_Mayo-Dallah,9.388150051006764e-4,506.43828610694646,539444.1752160077,36,FALSE,3,734288.1580552227,4650138.410948138,734288.1580552227,367144.07902761135,TRUE
SOM,2023,Somalia_Shabeellaha Dhexe_Jawhar,9.153808814349167e-4,440.5964056502154,481325.76787004,56,FALSE,4,655177.7324730292,5305316.1434211675,655177.7324730292,327588.8662365146,TRUE
BDI,2023,Burundi_Makamba_Nyanza-Lac,9.140355779777492e-4,70.06215251233489,76651.45011898043,92,FALSE,5,104337.49163681341,5409653.635057981,104337.49163681341,52168.74581840671,TRUE
SOM,2023,Somalia_Shabeellaha Hoose_Kuntuwaaray,9.114214916568269e-4,86.1834237769728,94559.34994500111,59,FALSE,6,128713.61688206375,5538367.251940045,128713.61688206375,64356.80844103188,TRUE
SOM,2023,Somalia_Mudug_Gaalkacayo,9.101996024837937e-4,241.84566057018748,265706.1812708203,42,FALSE,7,361677.65154033335,5900044.903480378,361677.65154033335,180838.82577016667,TRUE
GHA,2023,Ghana_Eastern_Akwapim South,9.092486459699369e-4,210.39305481871583,231392.21130682022,55,FALSE,8,314969.6825640466,6215014.586044424,314969.6825640466,157484.8412820233,TRUE
AGO,2023,Angola_Cunene_Cuanhama,9.028829067375425e-4,289.47752029022354,320614.68672190874,63,FALSE,9,436418.7780213083,6651433.364065733,436418.7780213083,218209.38901065415,TRUE
KEN,2023,Kenya_Migori_Kuria East,8.902556639678932e-4,122.35354783512219,137436.41606253776,170,FALSE,10,187077.6207007182,6838510.984766451,187077.6207007182,93538.8103503591,TRUE
NGA,2023,Nigeria_Kaduna_Kaduna North,8.709305522559335e-4,504.2538901062114,578982.8922639865,356,FALSE,11,788108.021253118,7626619.006019569,788108.021253118,394054.010626559,TRUE
COG,2023,Republic of Congo_Pointe Noire_Pointe Noire,8.661313545193713e-4,384.3346279075542,443737.11435585533,38,FALSE,12,604012.2839970038,8230631.290016573,604012.2839970038,302006.1419985019,TRUE
KEN,2023,Kenya_Siaya_Bondo,8.323595011049967e-4,361.082785652917,433806.2882367084,249,FALSE,13,590494.5033738741,8821125.793390447,590494.5033738741,295247.25168693706,TRUE
TCD,2023,Chad_Guéra_Bitkine,8.144819223426588e-4,230.32217042109238,282783.6494622579,12,FALSE,14,384923.3982527084,9206049.191643154,384923.3982527084,192461.6991263542,TRUE
MOZ,2023,Mozambique_Zambezia_Nicoadala,8.046819643226183e-4,494.54774953451283,614587.8389990055,128,FALSE,15,836573.2600245674,10042622.451667722,836573.2600245674,418286.6300122837,TRUE
TZA,2023,Tanzania_Tanga_Handeni,7.979623925360613e-4,284.6148302310484,356676.9974290313,169,FALSE,16,485506.57787334087,10528129.029541064,485506.57787334087,242753.28893667043,TRUE
NGA,2023,Nigeria_Kaduna_Kaduna South,7.878635495189249e-4,266.5331509291351,338298.6192112608,357,FALSE,17,460490.0402785746,10988619.069819639,460490.0402785746,230245.0201392873,TRUE
CMR,2023,Cameroon_Extrême-Nord_Mayo Tsanaga,7.876241849069857e-4,826.8162738078853,1049759.8850466076,25,FALSE,18,1428926.8246940966,12417545.894513734,1428926.8246940966,714463.4123470483,TRUE
BEN,2023,Benin_Atakora_Toucountouna,7.839681618771787e-4,41.299014903570594,52679.454232786506,15,FALSE,19,71706.9554054559,12489252.84991919,71706.9554054559,35853.47770272795,TRUE
SLE,2023,Sierra Leone_Southern_Moyamba,7.630631451139955e-4,313.2327196065765,410493.83869769005,11,FALSE,20,558761.737652738,13048014.587571928,558761.737652738,279380.868826369,TRUE
KEN,2023,Kenya_Garissa_Ijara,7.577543034207614e-4,62.494497553006326,82473.29942025384,43,FALSE,21,112262.15779563393,13160276.745367562,112262.15779563393,56131.078897816966,TRUE
COD,2023,Democratic Republic of the Congo_Katanga_Haut-Shaba,7.533701384453095e-4,1956.488682365965,2596981.991353504,24,FALSE,22,3534996.2249012366,16695272.970268799,3534996.2249012366,1767498.1124506183,TRUE
CMR,2023,Cameroon_Nord_Bénoué,7.495394078912572e-4,806.638256345581,1076178.5809434154,37,FALSE,23,1464887.7942244844,18160160.764493283,1464887.7942244844,732443.8971122422,TRUE
BDI,2023,Burundi_Bujumbura Rural_Mutimbuzi,7.468361468425091e-4,85.7408094187793,114805.38238712234,30,FALSE,24,156272.39414367487,18316433.158636957,156272.39414367487,78136.19707183744,TRUE
SOM,2023,Somalia_Gedo_Baar-Dheere,7.443183252327506e-4,133.804180080278,179767.41340935958,26,FALSE,25,244698.31900187567,18561131.477638833,244698.31900187567,122349.15950093784,TRUE
