cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
COD,2020,Democratic Republic of the Congo_Katanga_Tanganika,9.481843943859897e-4,2402.0558671115114,2533321.4523816295,28,FALSE,1,3448341.8831730266,3448341.8831730266,3448341.8831730266,1724170.9415865133,TRUE
TZA,2020,Tanzania_Tanga_Korogwe Township Authority,9.436067859077676e-4,79.16344308405172,83894.52499315696,171,FALSE,2,114196.72147442447,3562538.604647451,114196.72147442447,57098.360737212235,TRUE
TCD,2020,Chad_Mayo-Kebbi Ouest_Mayo-Dallah,9.387425142809778e-4,457.7165418624758,487584.75822633866,36,FALSE,3,663697.4323996649,4226236.037047116,663697.4323996649,331848.71619983244,TRUE
SOM,2020,Somalia_Shabeellaha Dhexe_Jawhar,9.153745775277595e-4,407.9732409152038,445689.94041440013,56,FALSE,4,606670.4590509043,4832906.49609802,606670.4590509043,303335.22952545213,TRUE
BDI,2020,Burundi_Makamba_Nyanza-Lac,9.140083808729637e-4,63.39059428095811,69354.50003249878,92,FALSE,5,94404.92718512015,4927311.42328314,94404.92718512015,47202.463592560074,TRUE
SOM,2020,Somalia_Shabeellaha Hoose_Kuntuwaaray,9.114073890418165e-4,79.80325977449695,87560.47047017685,59,FALSE,6,119186.78434937148,5046498.207632512,119186.78434937148,59593.39217468574,TRUE
SOM,2020,Somalia_Mudug_Gaalkacayo,9.10140219090925e-4,223.93796588485816,246047.76405610776,42,FALSE,7,334918.7325825149,5381416.940215027,334918.7325825149,167459.36629125744,TRUE
GHA,2020,Ghana_Eastern_Akwapim South,9.092498008331687e-4,195.60078174951133,215123.26048383774,55,FALSE,8,292824.4848176528,5674241.42503268,292824.4848176528,146412.2424088264,TRUE
AGO,2020,Angola_Cunene_Cuanhama,9.028964349263234e-4,262.05353939975333,290236.5423794557,63,FALSE,9,395068.2311451214,6069309.656177801,395068.2311451214,197534.1155725607,TRUE
KEN,2020,Kenya_Migori_Kuria East,8.902001995269687e-4,113.07380070482836,127020.64183417741,170,FALSE,10,172899.73163592434,6242209.3878137255,172899.73163592434,86449.86581796217,TRUE
NGA,2020,Nigeria_Kaduna_Kaduna North,8.709305522559334e-4,466.2017286506931,535291.5079659465,356,FALSE,11,728635.5724381054,6970844.9602518305,728635.5724381054,364317.7862190527,TRUE
COG,2020,Republic of Congo_Pointe Noire_Pointe Noire,8.661313545193715e-4,354.8655809477412,409713.35247949907,38,FALSE,12,557699.3445194477,7528544.304771278,557699.3445194477,278849.6722597238,TRUE
KEN,2020,Kenya_Siaya_Bondo,8.323603182518802e-4,333.95194969735974,401210.8006286559,249,FALSE,13,546125.722216779,8074670.026988057,546125.722216779,273062.8611083895,TRUE
TCD,2020,Chad_Guéra_Bitkine,8.144289263920091e-4,208.14435008722296,255570.92011616103,12,FALSE,14,347881.59517975926,8422551.622167816,347881.59517975926,173940.79758987963,TRUE
MOZ,2020,Mozambique_Zambezia_Nicoadala,8.046811693446275e-4,454.65217397585167,565009.0884395158,128,FALSE,15,769086.9637596582,9191638.585927475,769086.9637596582,384543.4818798291,TRUE
