cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
MLI,2029,Mali_Mopti_Douentza,0.4703053069168714,0.8176965273979198,0.9033865536976202,505279.9681451564,5,FALSE,707,687784.0454259086,454498282.7988772,0,0,FALSE
TZA,2029,Tanzania_Lindi_Nachingwea,0.6349292714238401,0.7345900610796879,0.9032097631117457,338570.31704796606,113,FALSE,708,460859.8737353582,454959142.67261255,0,0,FALSE
MWI,2029,Malawi_Rumphi_SC Mwankhunikira,0.17659578369547574,0.882313779126221,0.9030948342816433,39821.83059884832,40,FALSE,709,54205.235655954,455013347.9082685,0,0,FALSE
AGO,2029,Angola_Bié_Camacupa,0.5825836463423019,0.7681623156071105,0.9030780530742367,318024.63305441855,137,FALSE,710,432893.2125890669,455446241.1208576,0,0,FALSE
MWI,2029,Malawi_Mchinji_TA Mkanda,0.26342496664196363,0.8675292516070733,0.9030152064807442,180023.5984267662,41,FALSE,711,245047.03650258377,455691288.15736014,0,0,FALSE
ETH,2029,Ethiopia_Tigray_Mehakelegnaw,0.3365319497877444,0.8536483665753167,0.9028880440278274,2469145.177085869,58,FALSE,712,3360985.5242710155,459052273.6816312,0,0,FALSE
MWI,2029,Malawi_Nkhata Bay_TA Fukamapiri,0.21862497674211864,0.8762270163583787,0.9027798276139947,33422.2313303419,42,FALSE,713,45494.13972599708,459097767.8213572,0,0,FALSE
MWI,2029,Malawi_Neno_TA Mlauli,0.18487899718225104,0.8806279798824413,0.9026727011642433,49347.5094614446,43,FALSE,714,67171.53227680558,459164939.353634,0,0,FALSE
MOZ,2029,Mozambique_Tete_Chifunde,0.5610750334069449,0.7779078514905821,0.9026082101733021,241489.48212494946,37,FALSE,715,328714.02670764585,459493653.38034165,0,0,FALSE
CIV,2029,Côte d'Ivoire_Comoé_Sud Comoé,0.102887294,0.892370134,0.902606902,1198212.5948786708,30,FALSE,716,1630999.758037464,461124653.1383791,0,0,FALSE
TZA,2029,Tanzania_Pwani_Kibaha Urban,0.44628573118021286,0.8296892981064792,0.9024652185515694,176796.3128766654,114,FALSE,717,240654.07487471405,461365307.2132538,0,0,FALSE
MOZ,2029,Mozambique_Nassa_Mecula,0.6201258424793633,0.7424223737085525,0.9021510795368403,30869.099910185367,38,FALSE,718,42018.83263415767,461407326.04588795,0,0,FALSE
