cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
TCD,2026,Chad_Mayo-Kebbi Est_Mayo-Boneye,0.0028736311961664093,1457.027198559926,507033.4705802488,33,FALSE,1,690170.9023656351,690170.9023656351,690170.9023656351,345085.4511828176,TRUE
COD,2026,Democratic Republic of the Congo_Orientale_Ituri,2.2696289647395536e-4,1447.5647899718583,6377979.8921361165,36,FALSE,2,8681667.765222546,9371838.667588182,8681667.765222546,4340833.882611273,TRUE
GIN,2026,Guinea_Conakry_Conakry,5.988587884535653e-4,1357.5145192085788,2266835.7639270728,6,FALSE,3,3085603.171155198,12457441.83874338,3085603.171155198,1542801.585577599,TRUE
ZMB,2026,Zambia_Lusaka_Lusaka,4.606544633035019e-4,1316.6765839276486,2858273.8013332933,34,FALSE,4,3890665.0608621542,16348106.899605533,3890665.0608621542,1945332.5304310771,TRUE
KEN,2026,Kenya_Migori_Nyatike,0.0027920334896389173,1294.4356064769254,463617.50719699636,172,FALSE,5,631073.3548388388,16979180.254444372,631073.3548388388,315536.6774194194,TRUE
TCD,2026,Chad_Hadjer-Lamis_Dagana,0.0036831751934320468,1262.0268396278293,342646.4323169626,16,FALSE,6,466408.25725751545,17445588.511701886,466408.25725751545,233204.12862875772,TRUE
SOM,2026,Somalia_Jubbada Hoose_Kismaayo,0.00414965009384046,1206.9297185099754,290850.96121754544,41,FALSE,7,395904.57436212746,17841493.086064015,395904.57436212746,197952.28718106373,TRUE
COD,2026,Democratic Republic of the Congo_Bandundu_Mai-Ndombe,5.160048078859032e-4,1193.5222598217701,2313006.083628734,10,FALSE,8,3148449.9318917994,20989943.017955814,3148449.9318917994,1574224.9659458997,TRUE
GHA,2026,Ghana_Greater Accra_Dangbe East,0.006062726053928597,1166.6468010602377,192429.4105791338,71,FALSE,9,261933.75318813042,21251876.771143943,261933.75318813042,130966.87659406521,TRUE
CMR,2026,Cameroon_Extrême-Nord_Mayo Danay,0.001160006929309027,1145.3381619480162,987354.5864335928,22,FALSE,10,1343981.108572335,22595857.87971628,1343981.108572335,671990.5542861675,TRUE
SSD,2026,South Sudan_Upper Nile_Tonga,0.002788940767982413,1109.3076081076315,397752.3011039532,35,FALSE,11,541418.0335210732,23137275.913237352,541418.0335210732,270709.0167605366,TRUE
ETH,2026,Ethiopia_Tigray_Mehakelegnaw,4.816130948228256e-4,1099.6946919587076,2283357.1258340892,75,FALSE,12,3108091.949346953,26245367.862584304,3108091.949346953,1554045.9746734765,TRUE
CMR,2026,Cameroon_Sud-Ouest_Fako,0.001368727630337001,1054.521235562473,770439.0648582394,49,FALSE,13,1048717.008765576,27294084.871349882,1048717.008765576,524358.504382788,TRUE
ETH,2026,Ethiopia_Amhara_Mirab Gojjam,2.189080330870004e-4,1020.5527101755756,4662015.805376947,11,FALSE,14,6345907.79886317,33639992.67021305,6345907.79886317,3172953.899431585,TRUE
SOM,2026,Somalia_Mudug_Xarardheere,0.008504359084550897,1009.4415708257795,118696.96008715588,46,FALSE,15,161569.58623985827,33801562.25645291,161569.58623985827,80784.79311992913,TRUE
SLE,2026,Sierra Leone_Southern_Pujehun,0.001615651097808953,626.7694757260786,387936.15563166136,12,FALSE,16,528056.3555028331,34329618.61195574,528056.3555028331,264028.1777514166,TRUE
TZA,2026,Tanzania_Dar es Salaam_Kinondoni,2.5449311152493887e-4,622.847591579816,2447404.5204904513,11,FALSE,17,3331392.2736256304,37661010.885581374,3331392.2736256304,1665696.1368128152,TRUE
ETH,2026,Ethiopia_Tigray_Misraqawi,4.30723435429106e-4,618.7600027718458,1436559.870849399,77,FALSE,18,1955436.6326778193,39616447.51825919,1955436.6326778193,977718.3163389097,TRUE
TCD,2026,Chad_Mayo-Kebbi Est_Kabbia,0.001544062615128398,611.6437410289207,396126.2548786332,32,FALSE,19,539204.6692054332,40155652.187464625,539204.6692054332,269602.3346027166,TRUE
