cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
COD,2018,Democratic Republic of the Congo_Kasaï-Occidental_Lulua,0.002174066301621159,7117.69163505544,3273907.345763979,18,FALSE,1,4456422.934962405,4456422.934962405,4456422.934962405,2228211.4674812024,TRUE
COD,2018,Democratic Republic of the Congo_Kivu_Sud-Kivu,0.001010794508928605,5352.558629641947,5295397.4149655895,33,FALSE,2,7208063.026073964,11664485.96103637,7208063.026073964,3604031.513036982,TRUE
SOM,2018,Somalia_Banaadir_Mogadisho,0.004024731820423381,5257.3704434279325,1306266.0266578665,10,FALSE,3,1778081.4377329033,13442567.398769272,1778081.4377329033,889040.7188664516,TRUE
SLE,2018,Sierra Leone_Western_Western Rural,0.008449854702728684,3143.873309720717,372062.41057677317,13,FALSE,4,506449.1094645852,13949016.508233858,506449.1094645852,253224.5547322926,TRUE
COD,2018,Democratic Republic of the Congo_Kivu_Nord-Kivu,4.664814302654859e-4,2929.9510369891136,6280959.641462271,32,FALSE,5,8549604.385109436,22498620.893343292,8549604.385109436,4274802.192554718,TRUE
GHA,2018,Ghana_Greater Accra_Accra,0.001144661509710913,2718.5889139482365,2375015.57524619,70,FALSE,6,3232856.8779182164,25731477.77126151,0,0,FALSE
SLE,2018,Sierra Leone_Western_Western Urban,0.0034927428699109376,2685.4793987229104,768874.0622327541,14,FALSE,7,1046586.7366298928,26778064.5078914,0,0,FALSE
COD,2018,Democratic Republic of the Congo_Katanga_Tanganika,9.481836043191143e-4,2255.125575326405,2378363.815883316,28,FALSE,8,3237414.4828810957,30015478.990772497,0,0,FALSE
TCD,2018,Chad_Chari-Baguirmi_N'Djamena,0.007016042403307817,2161.9271800730658,308140.5521514228,8,FALSE,9,419439.06127225386,30434918.052044753,0,0,FALSE
SSD,2018,South Sudan_Eastern Equatoria_Amatonge,0.005200715475990547,1921.9378704362412,369552.58931371977,5,FALSE,10,503032.7558974022,30937950.807942156,0,0,FALSE
COD,2018,Democratic Republic of the Congo_Katanga_Haut-Lomami,5.347068288627971e-4,1846.0216977305436,3452399.704070776,23,FALSE,11,4699385.656648201,35637336.464590356,0,0,FALSE
COD,2018,Democratic Republic of the Congo_Katanga_Haut-Shaba,7.533795967079374e-4,1671.0551817170854,2218078.6273203297,24,FALSE,12,3019235.250847826,38656571.71543818,0,0,FALSE
GHA,2018,Ghana_Volta_North Tongu,0.009111296053231084,1605.7465054320069,176236.89275935345,122,FALSE,13,239892.59558474756,38896464.31102293,0,0,FALSE
SSD,2018,South Sudan_Central Equatoria_Bahr al Jabal,0.002713220861973861,1592.8824060976012,587081.7331615178,1,FALSE,14,799132.1146408151,39695596.42566375,0,0,FALSE
SLE,2018,Sierra Leone_Northern_Port Loko,0.0024772519164942613,1495.149742309939,603551.7552150424,7,FALSE,15,821551.009333614,40517147.43499736,0,0,FALSE
SOM,2018,Somalia_Bari_Bosaaso,0.004077900593947411,1274.535404095206,312546.9527106483,12,FALSE,16,425437.0271396054,40942584.46213696,0,0,FALSE
KEN,2018,Kenya_Garissa_Daadab,0.005860293879114725,1160.466415179914,198021.8806629571,40,FALSE,17,269546.18973948475,41212130.65187645,0,0,FALSE
COD,2018,Democratic Republic of the Congo_Orientale_Ituri,2.269530664460672e-4,1124.1707001776242,4953317.960322738,36,FALSE,18,6742426.535407152,47954557.1872836,0,0,FALSE
TCD,2018,Chad_Mayo-Kebbi Est_Mayo-Boneye,0.002874396082716814,1113.8812687606915,387518.3644516646,33,FALSE,19,527487.6606682126,48482044.847951815,0,0,FALSE
GIN,2018,Guinea_Conakry_Conakry,5.988588611648238e-4,1112.4519901064255,1857619.6533898253,6,FALSE,20,2528580.6693688054,51010625.51732062,0,0,FALSE
KEN,2018,Kenya_Migori_Nyatike,0.00279720771531328,1050.8098995686978,375663.87859437533,172,FALSE,21,511351.4060106197,51521976.92333124,0,0,FALSE
ZMB,2018,Zambia_Lusaka_Lusaka,4.606543366784693e-4,1043.2625785886353,2264740.5994504266,34,FALSE,22,3082751.2459049844,54604728.16923622,0,0,FALSE
SOM,2018,Somalia_Jubbada Hoose_Kismaayo,0.004149310740291434,983.1042011514369,236931.92982755176,41,FALSE,23,322510.3140058516,54927238.48324207,0,0,FALSE
TCD,2018,Chad_Hadjer-Lamis_Dagana,0.0036830862835710043,963.515186015414,261605.37979067385,16,FALSE,24,356095.6652964349,55283334.14853851,0,0,FALSE
GHA,2018,Ghana_Greater Accra_Dangbe East,0.006062848044141093,960.569901620521,158435.4241813432,71,FALSE,25,215661.3439124296,55498995.49245094,0,0,FALSE
COD,2018,Democratic Republic of the Congo_Bandundu_Mai-Ndombe,5.159472416857336e-4,927.2674992170596,1797213.7929983616,10,FALSE,26,2446356.576496123,57945352.06894706,0,0,FALSE
CMR,2018,Cameroon_Extrême-Nord_Mayo Danay,0.0011356639667769288,911.3204015925243,802456.0329926617,22,FALSE,27,1092298.3127040674,59037650.381651126,0,0,FALSE
ETH,2018,Ethiopia_Tigray_Mehakelegnaw,4.815969120167797e-4,892.6074871845744,1853432.7461665168,75,FALSE,28,2522881.4765065964,61560531.858157724,0,0,FALSE
CMR,2018,Cameroon_Sud-Ouest_Fako,0.0013687307224876152,862.2109880971361,629934.7080703361,49,FALSE,29,857463.3256514501,62417995.183809176,0,0,FALSE
ETH,2018,Ethiopia_Amhara_Mirab Gojjam,2.1890846834032775e-4,828.365549010754,3784072.6550739417,11,FALSE,30,5150856.877319614,67568852.0611288,0,0,FALSE
SOM,2018,Somalia_Mudug_Xarardheere,0.00850402602326241,822.3141213345579,96697.0372721287,46,FALSE,31,131623.42397990843,67700475.4851087,0,0,FALSE
SSD,2018,South Sudan_Upper Nile_Tonga,0.002794994826386929,818.7449674612772,292932.55205043196,35,FALSE,32,398738.0232503147,68099213.50835901,0,0,FALSE
TZA,2018,Tanzania_Dar es Salaam_Ilala,7.12151706389579e-4,771.9154856858281,1083920.0113684142,10,FALSE,33,1475425.3826324209,69574638.89099143,0,0,FALSE
SOM,2018,Somalia_Shabeellaha Hoose_Afgooye,0.0013259083607039942,762.6846853845831,575216.7404537926,57,FALSE,34,782981.5581217731,70357620.4491132,0,0,FALSE
SOM,2018,Somalia_Bay_Baydhabo,0.0014777653326553744,754.035432010519,510253.83756675635,17,FALSE,35,694554.4464864657,71052174.89559968,0,0,FALSE
SOM,2018,Somalia_Jubbada Dhexe_Saakow,0.007408720079060387,750.0326166445107,101236.46306524158,37,FALSE,36,137802.46299338652,71189977.35859306,0,0,FALSE
GHA,2018,Ghana_Greater Accra_Ga West,0.001722332217509466,732.4943618298655,425292.14421191637,74,FALSE,37,578905.1018739358,71768882.460467,0,0,FALSE
CMR,2018,Cameroon_Extrême-Nord_Mayo Tsanaga,7.876134094248401e-4,729.0096039565383,925593.1847185061,25,FALSE,38,1259911.8610248568,73028794.32149185,0,0,FALSE
GHA,2018,Ghana_Central_Komenda-Edina-Eguafo-Abirem,0.005210151918614844,726.455707536506,139430.81101743373,49,FALSE,39,189792.3790856406,73218586.7005775,0,0,FALSE
SOM,2018,Somalia_Hiiraan_Jalalaqsi,0.009525134647190535,721.8596898466316,75784.72290253095,34,FALSE,40,103157.70777679088,73321744.40835428,0,0,FALSE
SOM,2018,Somalia_Nugaal_Garoowe,0.007970561944939525,717.5098940614428,90019.98842967235,49,FALSE,41,122534.66536311775,73444279.0737174,0,0,FALSE
CMR,2018,Cameroon_Nord_Bénoué,7.494985773156346e-4,711.1639181332155,948852.9260192642,37,FALSE,42,1291572.880609943,74735851.95432734,0,0,FALSE
SOM,2018,Somalia_Jubbada Dhexe_Jilib,0.004024618135053825,674.8955762570687,167691.8290405812,36,FALSE,43,228261.10638383203,74964113.06071118,0,0,FALSE
SOM,2018,Somalia_Jubbada Hoose_Jamaame,0.0035150267928777917,673.052929475371,191478.74799677846,40,FALSE,44,260639.71701422936,75224752.7777254,0,0,FALSE
SSD,2018,South Sudan_Unity_Rabkona,0.0017764828987722502,657.5703511396098,370152.9305990308,27,FALSE,45,503849.93683446397,75728602.71455987,0,0,FALSE
SLE,2018,Sierra Leone_Northern_Kambia,0.0018291135265815397,651.6402030470008,356260.11922008026,5,FALSE,46,484939.1257694017,76213541.84032927,0,0,FALSE
SLE,2018,Sierra Leone_Northern_Bombali,0.001080235195312859,617.7672240466268,571882.1481906153,4,FALSE,47,778442.5312432027,76991984.37157248,0,0,FALSE
CMR,2018,Cameroon_Littoral_Wouri,2.7273193308685194e-4,599.037150646044,2196432.0197711485,29,FALSE,48,2989770.0191969923,79981754.39076947,0,0,FALSE
COD,2018,Democratic Republic of the Congo_Équateur_Équateur,3.4207328124170053e-4,588.2166089345335,1719563.1497419237,1,FALSE,49,2340658.9891864783,82322413.37995595,0,0,FALSE
TCD,2018,Chad_Lac_Mamdi,0.0017922711756842146,583.7273345165602,325691.41457833094,20,FALSE,50,443329.18936303275,82765742.56931898,0,0,FALSE
MOZ,2018,Mozambique_Cabo Delgado_Montepuez,0.0020736793801073264,575.8375726508359,277688.8163979489,8,FALSE,51,377988.3422111962,83143730.91153017,0,0,FALSE
KEN,2018,Kenya_Homa Bay_Mbita,0.0023256814942966284,572.5127459448383,246169.88497730094,50,FALSE,52,335084.96284396324,83478815.87437414,0,0,FALSE
SOM,2018,Somalia_Jubbada Dhexe_Bu'aale,0.006159383540991634,558.0003662598176,90593.54114681126,35,FALSE,53,123315.3818627386,83602131.25623688,0,0,FALSE
CMR,2018,Cameroon_Littoral_Moungo,6.861078091786425e-4,555.4663598010104,809590.4934619146,26,FALSE,54,1102009.6972687219,84704140.95350559,0,0,FALSE
NGA,2018,Nigeria_Kaduna_Igabi,5.653345307116587e-4,537.4844634328349,950737.0136337411,351,FALSE,55,1294137.489308322,85998278.44281392,0,0,FALSE
