cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
COD,2026,Democratic Republic of the Congo_Équateur_Tshuapa,0.8982572799285836,0.9104783578261659,0.9894638286868508,1686988.836649898,1,FALSE,1,2296319.0306529007,2296319.0306529007,2296319.0306529007,1148159.5153264503,TRUE
COG,2026,Republic of Congo_Plateaux_Lékana,0.46102108519657575,0.9802805182486567,0.9893880097303505,35080.041901901895,5,FALSE,2,47750.741478176205,2344069.772131077,47750.741478176205,23875.370739088103,TRUE
COG,2026,Republic of Congo_Plateaux_Abala,0.45714662693930147,0.9808218914385288,0.9893849775936351,75193.5889395041,6,FALSE,3,102353.05979129532,2446422.8319223723,102353.05979129532,51176.52989564766,TRUE
AGO,2026,Angola_Uíge_Buengas,0.8875357941720411,0.905495089482179,0.9893697736689139,55437.54293705184,14,FALSE,4,75461.24911637965,2521884.0810387516,75461.24911637965,37730.624558189826,TRUE
AGO,2026,Angola_Moxico_Cameia,0.8403148188041413,0.9318326827509088,0.989116832984088,103977.01323607018,15,FALSE,5,141532.88335836658,2663416.9643971184,141532.88335836658,70766.44167918329,TRUE
AGO,2026,Angola_Moxico_Luchazes,0.8362779128238221,0.9337546869453316,0.9890560715725487,60854.28766355762,16,FALSE,6,82834.48937110776,2746251.4537682263,82834.48937110776,41417.24468555388,TRUE
AGO,2026,Angola_Lunda Norte_Caungula,0.8478115890276766,0.9277163301029521,0.9889977151637421,122322.06541085492,17,FALSE,7,166504.05774440136,2912755.5115126274,166504.05774440136,83252.02887220068,TRUE
AGO,2026,Angola_Moxico_Lumbala-Nguimbo,0.8274476517358799,0.9345296649321955,0.9886958976150383,10936.625077468321,18,FALSE,8,14886.868099482383,2927642.37961211,14886.868099482383,7443.434049741191,TRUE
NER,2026,Niger_Agadez_Bilma,0.5191090766418556,0.9763596589758718,0.9885820233635094,39501.61318772662,17,FALSE,9,53769.35764708383,2981411.737259194,53769.35764708383,26884.678823541915,TRUE
AGO,2026,Angola_Benguela_Cubal,0.699751702569219,0.9608440258376666,0.9882376480343705,373393.2289735643,19,FALSE,10,508260.61144047446,3489672.3486996684,508260.61144047446,254130.30572023723,TRUE
MDG,2026,Madagascar_Toliary_Menabe,0.5746321990603614,0.9749735922994596,0.9882365443687419,905470.1983994046,10,FALSE,11,1232520.573403841,4722192.922103509,1232520.573403841,616260.2867019204,TRUE
NER,2026,Niger_Tillabéry_Kollo,0.517570846153528,0.978822770949031,0.9881510308554189,881286.1214150594,18,FALSE,12,1199601.3536606864,5921794.275764195,1199601.3536606864,599800.6768303432,TRUE
NER,2026,Niger_Diffa_N'Guigmi,0.35291406422353805,0.9814835050327994,0.9880100274610407,150262.37099909267,19,FALSE,13,204536.23321032777,6126330.508974523,204536.23321032777,102268.11660516389,TRUE
COG,2026,Republic of Congo_Plateaux_Djambala,0.45549359131263145,0.978600089292464,0.9877900603126795,64525.5761825156,7,FALSE,14,87831.82516251839,6214162.334137042,87831.82516251839,43915.912581259196,TRUE
SOM,2026,Somalia_Galguduud_Dhuusamareeb,0.9317620309976095,0.8209450152519999,0.9877717921798539,173847.29230155918,13,FALSE,15,236639.88585266258,6450802.219989704,236639.88585266258,118319.94292633129,TRUE
SOM,2026,Somalia_Galguduud_Cadaado,0.9317209730407934,0.8209978020755997,0.9877684321405636,90514.6810383529,14,FALSE,16,123208.03795869007,6574010.257948394,123208.03795869007,61604.01897934503,TRUE
AGO,2026,Angola_Moxico_Moxico,0.840760510010697,0.9224540842917127,0.9876513871288608,470523.9017609264,20,FALSE,17,640474.2974685746,7214484.555416969,640474.2974685746,320237.1487342873,TRUE
MOZ,2026,Mozambique_Zambezia_Mocuba,0.7931316861275476,0.9400851964020155,0.9875969767185134,571846.5878740381,1,FALSE,18,778394.1267547329,7992878.682171701,778394.1267547329,389197.06337736646,TRUE
SOM,2026,Somalia_Galguduud_Ceel Buur,0.9314403863298367,0.8190522968217019,0.9875544800582358,145653.8974569411,15,FALSE,19,198263.20681726738,8191141.888988969,198263.20681726738,99131.60340863369,TRUE
MOZ,2026,Mozambique_Zambezia_Lugela,0.7721749939949576,0.9450695339267177,0.9874769926649192,242733.44668904977,2,FALSE,20,330407.3037702695,8521549.192759238,330407.3037702695,165203.65188513475,TRUE
AGO,2026,Angola_Cuanza Sul_Waku Kungo,0.718669139784356,0.9552383964980083,0.9873476105023361,204335.56190932088,21,FALSE,21,278140.3345758506,8799689.527335089,278140.3345758506,139070.1672879253,TRUE
NER,2026,Niger_Dosso_Dogon-Doutchi,0.3999744601637122,0.9785449975816523,0.9873082056836076,1390219.5021204404,20,FALSE,22,1892358.402230783,10692047.929565873,1892358.402230783,946179.20111539145,TRUE
AGO,2026,Angola_Huíla_Caluquembe,0.7375185846300123,0.9516452008881174,0.9873063365526737,564751.99308063,22,FALSE,23,768737.0071076187,11460784.93667349,768737.0071076187,384368.50355380937,TRUE
NER,2026,Niger_Tahoua_Tchin-Tabarade,0.4546635575057098,0.9766718501636623,0.9872688281538092,489933.01743008883,21,FALSE,24,666893.8686660635,12127678.805339554,666893.8686660635,333446.93433303176,TRUE
SOM,2026,Somalia_Galguduud_Ceel Dheer,0.9306034866170613,0.8157576264260172,0.9870717070833482,137467.29999845967,16,FALSE,25,187119.65972804205,12314798.465067597,187119.65972804205,93559.82986402103,TRUE
COD,2026,Democratic Republic of the Congo_Bandundu_Kwango,0.8471709627710517,0.9160108503483085,0.9870128509269233,2538120.543895652,2,FALSE,26,3454874.37759983,15769672.842667427,3454874.37759983,1727437.188799915,TRUE
TZA,2026,Tanzania_Tabora_Igunga,0.8072449807542615,0.9332461360732058,0.9870043128155042,722196.6840376015,1,FALSE,27,983049.7709298903,16752722.613597317,983049.7709298903,491524.88546494517,TRUE
MDG,2026,Madagascar_Toliary_Anosy,0.5648735448228852,0.9713880760398929,0.9868995380295649,1053313.661247955,11,FALSE,28,1433764.2034274621,18186486.81702478,1433764.2034274621,716882.1017137311,TRUE
