cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
COD,2030,Democratic Republic of the Congo_Kasaï-Occidental_Lulua,0.0021741912940336366,10397.06778361944,4782039.102148383,18,FALSE,1,6509282.786598875,6509282.786598875,6509282.786598875,3254641.3932994376,TRUE
COD,2030,Democratic Republic of the Congo_Kivu_Sud-Kivu,0.001011152246029585,7818.653219557021,7732419.37626894,33,FALSE,2,10525322.622748652,17034605.409347527,10525322.622748652,5262661.311374326,TRUE
SOM,2030,Somalia_Banaadir_Mogadisho,0.00402473219119425,7151.801632398845,1776963.358716473,10,FALSE,3,2418791.8074767664,19453397.216824293,2418791.8074767664,1209395.9037383832,TRUE
SLE,2030,Sierra Leone_Western_Western Rural,0.00844990595020799,4373.412998546102,517569.4290938768,13,FALSE,4,704512.3855547349,20157909.602379028,704512.3855547349,352256.1927773674,TRUE
COD,2030,Democratic Republic of the Congo_Kivu_Nord-Kivu,4.664747476178719e-4,4275.407148604403,9165356.046468658,32,FALSE,5,12475827.376552716,32633736.978931744,12475827.376552716,6237913.688276358,TRUE
TZA,2030,Tanzania_Dar es Salaam_Ilala,7.121499522044878e-4,1112.9377213929547,1562785.6435962857,10,FALSE,6,2127254.3933057743,34760991.37223752,2127254.3933057743,1063627.1966528872,TRUE
SOM,2030,Somalia_Shabeellaha Hoose_Afgooye,0.001325880475064688,1037.449689091878,782460.9447101648,57,FALSE,7,1065081.1191191573,35826072.49135668,1065081.1191191573,532540.5595595787,TRUE
SOM,2030,Somalia_Bay_Baydhabo,0.0014779543503349263,1025.7340207583266,694022.8028868957,17,FALSE,8,944699.6538169666,36770772.14517365,944699.6538169666,472349.8269084833,TRUE
SOM,2030,Somalia_Jubbada Dhexe_Saakow,0.0074116794823586175,1020.265596008364,137656.4648318663,37,FALSE,9,187377.1497584708,36958149.29493211,187377.1497584708,93688.5748792354,TRUE
CMR,2030,Cameroon_Extrême-Nord_Mayo Tsanaga,7.87639476022233e-4,986.1726045810724,1252060.916958453,25,FALSE,10,1704297.7693071095,38662447.06423923,1704297.7693071095,852148.8846535548,TRUE
SOM,2030,Somalia_Hiiraan_Jalalaqsi,0.009527020073243558,981.9333620421212,103068.25791202654,34,FALSE,11,140295.89109174756,38802742.95533097,140295.89109174756,70147.94554587378,TRUE
GHA,2030,Ghana_Greater Accra_Ga West,0.0017223317917829455,980.5073645915874,569290.6379998787,74,FALSE,12,774914.9832003022,39577657.93853127,774914.9832003022,387457.4916001511,TRUE
SOM,2030,Somalia_Nugaal_Garoowe,0.00797438409199205,976.0331612181399,122396.05591587709,49,FALSE,13,166604.77317361988,39744262.711704895,166604.77317361988,83302.38658680994,TRUE
GHA,2030,Ghana_Central_Komenda-Edina-Eguafo-Abirem,0.005210170180737913,972.4190614100607,186638.6370650829,49,FALSE,14,254051.3872034671,39998314.09890836,254051.3872034671,127025.69360173355,TRUE
CMR,2030,Cameroon_Nord_Bénoué,7.495997355227658e-4,962.2039512676223,1283623.6536244077,37,FALSE,15,1747260.7761100759,41745574.87501843,1747260.7761100759,873630.3880550379,TRUE
TCD,2030,Chad_Mayo-Kebbi Est_Mont Illi,0.0013330956380682773,671.9724018509131,504069.1625280801,34,FALSE,16,686135.904122001,42431710.779140435,686135.904122001,343067.9520610005,TRUE
TCD,2030,Chad_Guéra_Barh Signaka,0.0017882872201936682,669.9619576394427,374638.9003254674,11,FALSE,17,509956.21177236206,42941666.9909128,509956.21177236206,254978.10588618103,TRUE
TZA,2030,Tanzania_Dar es Salaam_Temeke,4.57527061625849e-4,655.0506158155803,1431719.936931861,12,FALSE,18,1948848.543817661,44890515.53473046,1948848.543817661,974424.2719088305,TRUE
CMR,2030,Cameroon_Extrême-Nord_Logone et Chari,6.723135434545786e-4,651.4050108633998,968900.622641419,21,FALSE,19,1318861.684349528,46209377.219079986,1318861.684349528,659430.842174764,TRUE
SOM,2030,Somalia_Hiiraan_Beled Weyn,0.0018610452465776357,650.6513845310556,349616.10188015003,32,FALSE,20,475895.32943464513,46685272.548514634,475895.32943464513,237947.66471732256,TRUE
GHA,2030,Ghana_Central_Awutu Efutu Senya,0.001218232687332349,626.7712360553264,514492.2169407653,46,FALSE,21,700323.702929793,47385596.25144443,700323.702929793,350161.8514648965,TRUE
TCD,2030,Chad_Ville de N'Djamena_N'Djamena,3.2285256135069953e-4,590.5004627686733,1829009.688813466,52,FALSE,22,2489636.958126789,49875233.20957121,2489636.958126789,1244818.4790633945,TRUE
MOZ,2030,Mozambique_Tete_Moatize,0.0010276707541768447,564.5183001593404,549318.2499014625,110,FALSE,23,747728.6889690638,50622961.89854028,747728.6889690638,373864.3444845319,TRUE
SOM,2030,Somalia_Galguduud_Ceel Dheer,0.0036871053655509363,561.4933960185942,152285.69307096393,24,FALSE,24,207290.3670124249,50830252.26555271,207290.3670124249,103645.18350621244,TRUE
SOM,2030,Somalia_Bay_Qansax Dheere,0.0026867025622016594,556.1164219088456,206988.45854121176,20,FALSE,25,281751.4414722445,51112003.70702495,281751.4414722445,140875.72073612225,TRUE
SOM,2030,Somalia_Gedo_Beled Xaawo,0.004794673107281473,550.3554182389285,114784.7634081928,27,FALSE,26,156244.3277139037,51268248.03473885,156244.3277139037,78122.16385695185,TRUE
SOM,2030,Somalia_Shabeellaha Dhexe_Jawhar,9.154005146758933e-4,527.2224910419438,575947.3395408918,56,FALSE,27,783976.0451930776,52052224.07993193,783976.0451930776,391988.0225965388,TRUE
COG,2030,Republic of Congo_Kouilou_Loandjili,5.047361108843051e-4,466.32226309393104,923893.2048609076,18,FALSE,28,1257597.8586948344,53309821.938626766,1257597.8586948344,628798.9293474172,TRUE
COG,2030,Republic of Congo_Pointe Noire_Pointe Noire,8.661313545193716e-4,462.966178194882,534521.9010709852,38,FALSE,29,727587.9881739849,54037409.92680075,727587.9881739849,363793.99408699246,TRUE
SOM,2030,Somalia_Jubbada Hoose_Badhaadhe,0.00456994353337912,396.85715339096726,86840.71268983974,39,FALSE,30,118207.0543994503,54155616.981200196,118207.0543994503,59103.52719972515,TRUE
TZA,2030,Tanzania_Morogoro_Gairo,0.002067779944931099,387.65829757370983,187475.60567264666,92,FALSE,31,255190.6638245409,54410807.64502474,255190.6638245409,127595.33191227046,TRUE
SSD,2030,South Sudan_Lakes_Aliab,0.0033459159637780015,385.7469251433838,115288.8863077787,16,FALSE,32,156930.53676458474,54567738.18178932,156930.53676458474,78465.26838229237,TRUE
CMR,2030,Cameroon_Nord_Mayo Louti,5.24928145117793e-4,385.1018929811316,733627.8242324296,39,FALSE,33,998609.7700248297,55566347.95181415,998609.7700248297,499304.88501241483,TRUE
AGO,2030,Angola_Cunene_Namakunde,0.0013932904132471224,384.36925157475685,275871.59713456145,66,FALSE,34,375514.7543090543,55941862.70612321,375514.7543090543,187757.37715452714,TRUE
SLE,2030,Sierra Leone_Southern_Moyamba,7.630553970514322e-4,379.70797341409434,497615.2123179346,11,FALSE,35,677350.8260180615,56619213.53214127,677350.8260180615,338675.41300903074,TRUE
GNB,2030,Guinea-Bissau_Bissau_Bissau,6.048857701196988e-4,379.5087951799014,627405.7250591327,10,FALSE,36,854020.8892282448,57473234.421369515,854020.8892282448,427010.4446141224,TRUE
NGA,2030,Nigeria_Bauchi_Bauchi,3.492159957373998e-4,378.3692739580232,1083482.0815096505,92,FALSE,37,1474829.2751497137,58948063.696519226,1474829.2751497137,737414.6375748569,TRUE
COD,2030,Democratic Republic of the Congo_Équateur_Sud-Ubangi,1.027935158564583e-4,366.9457796989169,3569736.637973576,5,FALSE,38,4859103.983447881,63807167.67996711,0,0,FALSE
AGO,2030,Angola_Cunene_Cuanhama,9.028416648050128e-4,365.1049047835736,404395.27662076324,63,FALSE,39,550460.4117324814,64357628.09169959,0,0,FALSE
SSD,2030,South Sudan_Jungoli_Fam al Zaraf,0.0011179047836371273,358.50556143535306,320694.18315659004,12,FALSE,40,436526.988088774,64794155.079788364,0,0,FALSE
CMR,2030,Cameroon_Centre_Lekié,7.129376423550006e-4,352.53316683723625,494479.6653922443,7,FALSE,41,673082.7384524874,65467237.81824085,0,0,FALSE
TZA,2030,Tanzania_Tanga_Handeni,7.97977467725107e-4,352.29966357199334,441490.74105605704,169,FALSE,42,600954.5342086168,66068192.35244947,0,0,FALSE
ZMB,2030,Zambia_Northern_Kaputa,0.0014865943096104145,351.17162847459855,236225.59712785974,48,FALSE,43,321548.85819474125,66389741.21064421,0,0,FALSE
GHA,2030,Ghana_Greater Accra_Tema,3.394170228560121e-4,325.87411520062454,960099.5037272107,75,FALSE,44,1306881.654360788,67696622.865005,0,0,FALSE
