cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
TCD,2019,Chad_Logone Oriental_Nya Pendé,0.5492100219849834,0.9843722641477601,0.9926360463436967,481816.35412946483,38,FALSE,1,655845.5155307589,655845.5155307589,655845.5155307589,327922.75776537944,TRUE
COG,2019,Republic of Congo_Cuvette-Ouest_Kéllé,0.7816669919128854,0.9841585376905782,0.9962588062453283,31811.831208678257,2,FALSE,2,43302.07279229667,699147.5883230555,43302.07279229667,21651.036396148334,TRUE
MDG,2019,Madagascar_Mahajanga_Betsiboka,0.6670341378355686,0.9840843404099091,0.9939573503958924,383451.01316775737,2,FALSE,3,521951.20662970544,1221098.794952761,521951.20662970544,260975.60331485272,TRUE
NER,2019,Niger_Diffa_Maïné-Soroa,0.4065415435813142,0.9838225090667865,0.9906301194121067,250548.04708031146,13,FALSE,4,341044.4906950137,1562143.2856477748,341044.4906950137,170522.24534750686,TRUE
NER,2019,Niger_Maradi_Mayahi,0.483579239059406,0.9832026086268848,0.9913247676755402,785583.394358768,14,FALSE,5,1069331.3787501468,2631474.6643979214,1069331.3787501468,534665.6893750734,TRUE
TCD,2019,Chad_Logone Occidental_Dodjé,0.5997543352473474,0.983135130945381,0.9932504321254803,119368.55002217897,39,FALSE,6,162483.75040922588,2793958.4148071473,162483.75040922588,81241.87520461294,TRUE
TCD,2019,Chad_Mayo-Kebbi Est_Mayo-Boneye,0.5725865186666047,0.9830294727892339,0.990965948070899,400762.2239715465,40,FALSE,7,545515.122376372,3339473.5371835195,545515.122376372,272757.561188186,TRUE
TCD,2019,Chad_Logone Occidental_Ngourkosso,0.5993783602522906,0.9829834936127976,0.9931832860911762,218123.38226600585,41,FALSE,8,296908.2324945787,3636381.769678098,296908.2324945787,148454.11624728935,TRUE
TCD,2019,Chad_Mayo-Kebbi Ouest_Lac Léré,0.5961274356536005,0.9829667807357712,0.9915001297016945,333890.10120165837,42,FALSE,9,454489.19215053983,4090870.961828638,454489.19215053983,227244.59607526992,TRUE
NER,2019,Niger_Maradi_Dakoro,0.5592993013142781,0.9829624656158679,0.9924804304526216,829000.9300818032,15,FALSE,10,1128431.066536373,5219302.028365011,1128431.066536373,564215.5332681865,TRUE
TCD,2019,Chad_Logone Occidental_Lac Wey,0.5993229828925764,0.9829303923239706,0.9931620104164802,369034.1815253447,43,FALSE,11,502327.1023422498,5721629.130707261,502327.1023422498,251163.5511711249,TRUE
TCD,2019,Chad_Mayo-Kebbi Est_Mont Illi,0.5873632976189705,0.9827746378077541,0.991632963491256,350557.0075894153,44,FALSE,12,477176.08461173717,6198805.215318998,477176.08461173717,238588.04230586858,TRUE
MDG,2019,Madagascar_Mahajanga_Melaky,0.763037590037752,0.9827167114549313,0.9958425787478848,356973.5817237277,3,FALSE,13,485910.2866266581,6684715.501945656,485910.2866266581,242955.14331332906,TRUE
TCD,2019,Chad_Moyen-Chari_Barh Köh,0.6050434100601343,0.9826931878885637,0.993102406939323,459015.835265246,45,FALSE,14,624809.5867568378,7309525.088702494,624809.5867568378,312404.7933784189,TRUE
COG,2019,Republic of Congo_Plateaux_Gamboma,0.4616469474563472,0.9825584873811418,0.9906446523836134,102658.92337998455,3,FALSE,15,139738.70739532306,7449263.796097817,139738.70739532306,69869.35369766153,TRUE
COG,2019,Republic of Congo_Cuvette-Ouest_Ewo,0.7744637850491217,0.9820768979185955,0.9951389481299079,32840.12252927387,4,FALSE,16,44701.77673653145,7493965.572834348,44701.77673653145,22350.888368265725,TRUE
TCD,2019,Chad_Moyen-Chari_Lac Iro,0.6041759063549108,0.9817963125157647,0.9925656377109283,248043.39345350253,46,FALSE,17,337635.17128312204,7831600.74411747,337635.17128312204,168817.58564156102,TRUE
NER,2019,Niger_Diffa_N'Guigmi,0.35291406422353805,0.9814835050327994,0.9880100274610407,115380.76300336323,16,FALSE,18,157055.59876852974,7988656.342886,157055.59876852974,78527.79938426487,TRUE
