cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
TCD,2024,Chad_Salamat_Barh Azoum,0.5406765672998849,0.9969497369665593,0.9985999494008835,313986.09427533764,1,FALSE,1,427395.9779583686,427395.9779583686,427395.9779583686,213697.9889791843,TRUE
TCD,2024,Chad_Salamat_Aboudeïa,0.5426880420872796,0.9969487180500451,0.998606216321662,112868.40972873215,2,FALSE,2,153635.79864245708,581031.7766008257,153635.79864245708,76817.89932122854,TRUE
TCD,2024,Chad_Batha_Batha Est,0.7333632430548209,0.996096324848769,0.998958791948178,317031.559441821,3,FALSE,3,431541.44677657017,1012573.2233773959,431541.44677657017,215770.72338828509,TRUE
TCD,2024,Chad_Batha_Fitri,0.7324030870054768,0.9960828905081938,0.9989500833852454,232657.81785717697,4,FALSE,4,316692.41856784525,1329265.641945241,316692.41856784525,158346.20928392262,TRUE
TCD,2024,Chad_Lac_Mamdi,0.7892639364209543,0.995738235792294,0.9989144064256751,398630.8573373427,5,FALSE,5,542613.9189676166,1871879.5609128578,542613.9189676166,271306.9594838083,TRUE
TCD,2024,Chad_Batha_Batha Oues,0.7309984009529286,0.9956612545815371,0.9987634597283386,337719.1509660831,6,FALSE,6,459701.2715978624,2331580.83251072,459701.2715978624,229850.6357989312,TRUE
NER,2024,Niger_Tillabéry_Ouallam,0.5577845958406381,0.9956136042333902,0.9980291378998276,685398.1732464622,1,FALSE,7,932959.8599633273,3264540.6924740477,932959.8599633273,466479.92998166365,TRUE
TCD,2024,Chad_Kanem_Nokou,0.49897671948327055,0.9955423294589443,0.9977644034533509,168259.37366836992,7,FALSE,8,229033.64470846264,3493574.33718251,229033.64470846264,114516.82235423132,TRUE
TCD,2024,Chad_Kanem_Kanem,0.4985821436156662,0.9954708339495619,0.9977239567201243,443349.3724329822,8,FALSE,9,603484.4920299605,4097058.8292124704,603484.4920299605,301742.24601498025,TRUE
TCD,2024,Chad_Barh el Ghazel_Barh El Gazel,0.4980461337520076,0.9952998806015119,0.9976291875531726,447713.18510957167,9,FALSE,10,609424.4875283043,4706483.316740775,609424.4875283043,304712.24376415217,TRUE
TCD,2024,Chad_Guéra_Barh Signaka,0.6465072922899552,0.9952343591866794,0.9983152200033005,306010.3732810839,10,FALSE,11,416539.47464050836,5123022.791381284,416539.47464050836,208269.73732025418,TRUE
TCD,2024,Chad_Guéra_Mangalmé,0.6458984105451878,0.9952252861436661,0.9983096678071681,165272.4423492042,11,FALSE,12,224967.85181022735,5347990.643191511,224967.85181022735,112483.92590511368,TRUE
TCD,2024,Chad_Guéra_Bitkine,0.6452707425244809,0.994966766124451,0.9981956828618122,292482.7593797262,12,FALSE,13,398125.7681795337,5746116.411371045,398125.7681795337,199062.88408976686,TRUE
