cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
TCD,2022,Chad_Logone Oriental_Nya Pendé,0.5492100219849834,0.9843722641477601,0.9926360463436967,533063.2797695664,38,FALSE,1,725602.5216550628,725602.5216550628,725602.5216550628,362801.2608275314,TRUE
COG,2022,Republic of Congo_Cuvette-Ouest_Kéllé,0.7816669919128854,0.9841585376905782,0.9962588062453283,34440.13391124539,2,FALSE,2,46879.70258041476,772482.2242354775,46879.70258041476,23439.85129020738,TRUE
MDG,2022,Madagascar_Mahajanga_Betsiboka,0.6670341378355686,0.9840843404099091,0.9939573503958924,417466.9376427165,2,FALSE,3,568253.4778837452,1340735.7021192228,568253.4778837452,284126.7389418726,TRUE
NER,2022,Niger_Diffa_Maïné-Soroa,0.4065415435813142,0.9838225090667865,0.9906301194121067,281283.98950944643,13,FALSE,4,382882.0701690041,1723617.7722882268,382882.0701690041,191441.03508450204,TRUE
NER,2022,Niger_Maradi_Mayahi,0.483579239059406,0.9832026086268848,0.9913247676755402,882277.5187663224,14,FALSE,5,1200950.8377563634,2924568.61004459,1200950.8377563634,600475.4188781817,TRUE
TCD,2022,Chad_Logone Occidental_Dodjé,0.5997543352473474,0.983135130945381,0.9932504321254803,132083.39005009778,39,FALSE,6,179791.1139753053,3104359.724019896,179791.1139753053,89895.55698765266,TRUE
TCD,2022,Chad_Mayo-Kebbi Est_Mayo-Boneye,0.5725865186666047,0.9830294727892339,0.990965948070899,443269.247697059,40,FALSE,7,603375.4267226334,3707735.150742529,603375.4267226334,301687.7133613167,TRUE
TCD,2022,Chad_Logone Occidental_Ngourkosso,0.5993783602522906,0.9829834936127976,0.9931832860911762,241366.44385744262,41,FALSE,8,328546.54775992763,4036281.698502457,328546.54775992763,164273.27387996382,TRUE
TCD,2022,Chad_Mayo-Kebbi Ouest_Lac Léré,0.5961274356536005,0.9829667807357712,0.9915001297016945,369273.9871063718,42,FALSE,9,502653.5242529382,4538935.222755395,502653.5242529382,251326.7621264691,TRUE
NER,2022,Niger_Maradi_Dakoro,0.5592993013142781,0.9829624656158679,0.9924804304526216,931009.4483404864,15,FALSE,10,1267284.4464030063,5806219.669158401,1267284.4464030063,633642.2232015032,TRUE
TCD,2022,Chad_Logone Occidental_Lac Wey,0.5993229828925764,0.9829303923239706,0.9931620104164802,408354.18770969973,43,FALSE,11,555849.2576315693,6362068.92678997,555849.2576315693,277924.62881578464,TRUE
TCD,2022,Chad_Mayo-Kebbi Est_Mont Illi,0.5873632976189705,0.9827746378077541,0.991632963491256,387041.6546396516,44,FALSE,12,526838.7661470145,6888907.692936985,526838.7661470145,263419.3830735072,TRUE
MDG,2022,Madagascar_Mahajanga_Melaky,0.763037590037752,0.9827167114549313,0.9958425787478848,388620.97565526725,3,FALSE,13,528988.5283889924,7417896.221325978,528988.5283889924,264494.2641944962,TRUE
TCD,2022,Chad_Moyen-Chari_Barh Köh,0.6050434100601343,0.9826931878885637,0.993102406939323,507890.16076167877,45,FALSE,14,691337.0238741199,8109233.245200098,691337.0238741199,345668.5119370599,TRUE
COG,2022,Republic of Congo_Plateaux_Gamboma,0.4616469474563472,0.9825584873811418,0.9906446523836134,111184.12381631415,3,FALSE,15,151343.15881596803,8260576.404016065,151343.15881596803,75671.57940798401,TRUE
COG,2022,Republic of Congo_Cuvette-Ouest_Ewo,0.7744637850491217,0.9820768979185955,0.9951389481299079,35559.69172812087,4,FALSE,16,48403.637928980985,8308980.041945046,48403.637928980985,24201.818964490492,TRUE
TCD,2022,Chad_Moyen-Chari_Lac Iro,0.6041759063549108,0.9817963125157647,0.9925656377109283,274424.5774953607,46,FALSE,17,373545.07990277675,8682525.121847823,373545.07990277675,186772.53995138837,TRUE
NER,2022,Niger_Diffa_N'Guigmi,0.35291406422353805,0.9814835050327994,0.9880100274610407,129252.09931918728,16,FALSE,18,175937.17810717475,8858462.299954997,175937.17810717475,87968.58905358738,TRUE
MDG,2022,Madagascar_Antananarivo_Vakinankaratra,0.6272192831396756,0.9810656162423511,0.9913582130289779,2424976.567678547,4,FALSE,19,3300863.47951527,12159325.779470267,3300863.47951527,1650431.739757635,TRUE
COG,2022,Republic of Congo_Plateaux_Abala,0.45714662693930147,0.9808218914385288,0.9893849775936351,67624.76229901053,5,FALSE,20,92050.41861389847,12251376.198084166,92050.41861389847,46025.20930694923,TRUE
COG,2022,Republic of Congo_Plateaux_Lékana,0.46102108519657575,0.9802805182486567,0.9893880097303505,31550.788913987246,6,FALSE,21,42946.74359504208,12294322.941679208,42946.74359504208,21473.37179752104,TRUE
TCD,2022,Chad_Logone Oriental_Monts de Lam,0.5421137105851609,0.9801549038433616,0.9900252125815713,281601.2970720156,47,FALSE,22,383313.98730957304,12677636.92898878,383313.98730957304,191656.99365478652,TRUE
CIV,2022,Côte d'Ivoire_Savanes_Poro,0.142185202,0.980013485,0.982915511,885740.5825000177,1,FALSE,23,1205664.7392258246,13883301.668214606,1205664.7392258246,602832.3696129123,TRUE
CIV,2022,Côte d'Ivoire_Woroba_Béré,0.212518996,0.979760528,0.984056297,352814.30158241873,2,FALSE,24,480248.6995818551,14363550.36779646,480248.6995818551,240124.34979092755,TRUE
MRT,2022,Mauritania_Assaba_Kiffa,0.3127484463708725,0.9795083093894946,0.9859186137397818,150312.56414042314,1,FALSE,25,204604.5558116049,14568154.923608067,204604.5558116049,102302.27790580245,TRUE
MDG,2022,Madagascar_Fianarantsoa_Ihorombe,0.6053867044809449,0.9794828979882289,0.9922594916405615,431119.3233102558,5,FALSE,26,586837.0229203799,15154991.946528446,586837.0229203799,293418.51146018994,TRUE
NER,2022,Niger_Dosso_Dosso,0.5147927237115748,0.9794572619905533,0.9900264902922653,709492.5195466055,17,FALSE,27,965756.9388402889,16120748.885368735,965756.9388402889,482878.46942014445,TRUE
MDG,2022,Madagascar_Mahajanga_Boeny,0.6565898991319541,0.9792837166588795,0.9925358538476151,827881.1616020441,6,FALSE,28,1126906.84443476,17247655.729803495,1126906.84443476,563453.42221738,TRUE
MRT,2022,Mauritania_Assaba_Guérou,0.3122545807476414,0.9791580872736407,0.9856631461041836,59950.34045842091,2,FALSE,29,81604.04188694833,17329259.771690443,81604.04188694833,40802.02094347416,TRUE
MDG,2022,Madagascar_Fianarantsoa_Atsimo-Atsinana,0.8114689953586712,0.9791471928170605,0.9959850651725044,1204383.4308798707,7,FALSE,30,1639399.4627875756,18968659.23447802,1639399.4627875756,819699.7313937878,TRUE
NER,2022,Niger_Tillabéry_Kollo,0.517570846153528,0.978822770949031,0.9881510308554189,754935.8908452746,18,FALSE,31,1027614.1817947755,19996273.416272793,1027614.1817947755,513807.09089738777,TRUE
COG,2022,Republic of Congo_Plateaux_Djambala,0.45549359131263145,0.978600089292464,0.9877900603126795,58034.81539359013,7,FALSE,32,78996.6407207387,20075270.056993533,78996.6407207387,39498.32036036935,TRUE
NER,2022,Niger_Dosso_Dogon-Doutchi,0.3999744601637122,0.9785449975816523,0.9873082056836076,1191105.253648986,19,FALSE,33,1621325.2880181605,21696595.345011692,1621325.2880181605,810662.6440090802,TRUE
