cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
NER,2022,Niger_Zinder_Gouré,0.32410593218334366,0.991248140172516,0.9940536600466273,526843.0006363337,9,FALSE,1,717135.515211807,717135.515211807,717135.515211807,358567.7576059035,TRUE
SOM,2022,Somalia_Jubbada Dhexe_Jilib,0.9618915326391904,0.8479274411663368,0.9939915098981664,185798.87035684576,12,FALSE,2,252908.30182463131,970043.8170364383,252908.30182463131,126454.15091231566,TRUE
MDG,2022,Madagascar_Mahajanga_Betsiboka,0.6670341378355686,0.9840843404099091,0.9939573503958924,417466.9376427165,4,FALSE,3,568253.4778837452,1538297.2949201835,568253.4778837452,284126.7389418726,TRUE
TCD,2022,Chad_Borkou_Borkou,0.5335454277339416,0.9865872484953336,0.9937400635779433,149344.3052659012,34,FALSE,4,203286.56767092537,1741583.8625911088,203286.56767092537,101643.28383546269,TRUE
TCD,2022,Chad_Ennedi Ouest_Ennedi Ouest,0.5333173957958772,0.9865547036402886,0.993723440806674,54875.7554985866,35,FALSE,5,74696.54744313603,1816280.4100342449,74696.54744313603,37348.27372156802,TRUE
TCD,2022,Chad_Tibesti_Tibesti,0.5324836642319665,0.9865312096673106,0.9937028999927082,14805.690310183118,36,FALSE,6,20153.416360918396,1836433.8263951633,20153.416360918396,10076.708180459198,TRUE
AGO,2022,Angola_Lunda Norte_Xá Muteba,0.8928672939088659,0.9409925065001108,0.9936665334413812,280986.69055134343,1,FALSE,7,382477.3886201677,2218911.215015331,382477.3886201677,191238.69431008384,TRUE
NER,2022,Niger_Dosso_Loga,0.512962380553309,0.9870019086426569,0.9936641994193626,458862.36787772854,10,FALSE,8,624600.6878744713,2843511.902889802,624600.6878744713,312300.34393723565,TRUE
AGO,2022,Angola_Lunda Sul_Muconda,0.8987378118515972,0.9387105087547603,0.9934990638488032,159253.26031927066,2,FALSE,9,216774.57753121748,3060286.4804210197,216774.57753121748,108387.28876560874,TRUE
NER,2022,Niger_Tillabéry_Téra,0.40648644485068997,0.9889863147112213,0.9933860224971249,986416.35324677,11,FALSE,10,1342703.9912166744,4402990.471637694,1342703.9912166744,671351.9956083372,TRUE
TCD,2022,Chad_Logone Occidental_Dodjé,0.5997543352473474,0.983135130945381,0.9932504321254803,132083.39005009778,37,FALSE,11,179791.1139753053,4582781.585612999,179791.1139753053,89895.55698765266,TRUE
TCD,2022,Chad_Logone Occidental_Ngourkosso,0.5993783602522906,0.9829834936127976,0.9931832860911762,241366.44385744262,38,FALSE,12,328546.54775992763,4911328.133372927,328546.54775992763,164273.27387996382,TRUE
TCD,2022,Chad_Logone Occidental_Lac Wey,0.5993229828925764,0.9829303923239706,0.9931620104164802,408354.18770969973,39,FALSE,13,555849.2576315693,5467177.391004496,555849.2576315693,277924.62881578464,TRUE
TCD,2022,Chad_Moyen-Chari_Barh Köh,0.6050434100601343,0.9826931878885637,0.993102406939323,507890.16076167877,40,FALSE,14,691337.0238741199,6158514.414878616,691337.0238741199,345668.5119370599,TRUE
AGO,2022,Angola_Lunda Sul_Dala,0.8870609294402703,0.9398098839771647,0.9930978464403079,108735.21852847177,3,FALSE,15,148009.7237068737,6306524.13858549,148009.7237068737,74004.86185343684,TRUE
TCD,2022,Chad_Ennedi Est_Ennedi Est,0.5326771476031543,0.9849806731736045,0.9928918430213385,177857.73847889525,41,FALSE,16,242098.88100328503,6548623.019588775,242098.88100328503,121049.44050164252,TRUE
AGO,2022,Angola_Lunda Norte_Lubalo,0.8833082765381904,0.939144252441746,0.9928051730451033,65176.32789662329,4,FALSE,17,88717.62447124589,6637340.644060021,88717.62447124589,44358.81223562294,TRUE
TCD,2022,Chad_Logone Oriental_Nya Pendé,0.5492100219849834,0.9843722641477601,0.9926360463436967,533063.2797695664,42,FALSE,18,725602.5216550628,7362943.1657150835,725602.5216550628,362801.2608275314,TRUE
TCD,2022,Chad_Moyen-Chari_Lac Iro,0.6041759063549108,0.9817963125157647,0.9925656377109283,274424.5774953607,43,FALSE,19,373545.07990277675,7736488.245617861,373545.07990277675,186772.53995138837,TRUE
MDG,2022,Madagascar_Mahajanga_Boeny,0.6565898991319541,0.9792837166588795,0.9925358538476151,827881.1616020441,5,FALSE,20,1126906.84443476,8863395.090052621,1126906.84443476,563453.42221738,TRUE
NER,2022,Niger_Maradi_Dakoro,0.5592993013142781,0.9829624656158679,0.9924804304526216,931009.4483404864,12,FALSE,21,1267284.4464030063,10130679.536455628,1267284.4464030063,633642.2232015032,TRUE
MDG,2022,Madagascar_Fianarantsoa_Ihorombe,0.6053867044809449,0.9794828979882289,0.9922594916405615,431119.3233102558,6,FALSE,22,586837.0229203799,10717516.559376007,586837.0229203799,293418.51146018994,TRUE
AGO,2022,Angola_Lunda Norte_Cuango,0.878913038761042,0.9333900972367486,0.9919295371578328,104776.03604452027,5,FALSE,23,142620.50838652818,10860137.067762535,142620.50838652818,71310.25419326409,TRUE
AGO,2022,Angola_Lunda Norte_Cambulo,0.8822379994265274,0.931095076463241,0.9917358784102048,127331.16985459047,6,FALSE,24,173322.42050459614,11033459.488267131,173322.42050459614,86661.21025229807,TRUE
TCD,2022,Chad_Mayo-Kebbi Est_Mont Illi,0.5873632976189705,0.9827746378077541,0.991632963491256,387041.6546396516,44,FALSE,25,526838.7661470145,11560298.254414145,526838.7661470145,263419.3830735072,TRUE
TCD,2022,Chad_Mayo-Kebbi Ouest_Lac Léré,0.5961274356536005,0.9829667807357712,0.9915001297016945,369273.9871063718,45,FALSE,26,502653.5242529382,12062951.778667083,502653.5242529382,251326.7621264691,TRUE
AGO,2022,Angola_Moxico_Camanongue,0.8553081022886284,0.941273570866636,0.9914923560492994,43199.03798785084,7,FALSE,27,58802.26998679676,12121754.04865388,58802.26998679676,29401.13499339838,TRUE
