alloc_strategy,median,mean,ci_lower,ci_upper
allDistrict,2.7327050380352462,2.732581816848525,2.7295530248941264,2.7348118742795617
hrDistrict2,30.320819381256875,30.126544785635133,29.14331853758828,31.075883518932674
hrDistrict2Incid,30.321416866211756,30.122248302883378,29.133932469266302,31.075821602920787
optimumDistrict,30.795056875498204,30.627579562697964,29.13738618063086,31.707621211962817
optimumDistrictIncid,43.32321953197403,42.91940378205979,40.96321952322124,44.263173324172186
optimumSan,5.5377933607278935,5.480964597836123,5.168159721751461,5.6754305890307455
optimumWash,9.438470273887546,9.384937772613522,8.832062325348524,9.82898992176374
optimumWat,13.51506551070257,13.506939864225421,13.188362466401571,13.840534366059403
