alloc_strategy,mean_costper,median_costper,q025_costper,q975_costper,plot_alloc_strategy
allDistrict,21182.785413057663,24453.059012330523,11935.448412382233,27223.783919638343,untargeted
hrDistrict2,2388.712464025701,2755.69457034509,1329.5420806231184,3109.974227928164,case-logistics optimized
hrDistrict2Incid,2378.733144937934,2743.721520494536,1324.678782888357,3097.1156618251534,rate-logistics optimized
optimumDistrict,2154.136474264816,2460.005351597346,1196.6028702678595,2872.480692087215,case optimized
optimumDistrictIncid,1839.4291555002765,2125.7586269087915,1029.826814520046,2377.5237824911324,rate optimized
optimumSan,16516.905407804854,18841.549085250517,9105.671916493578,22204.79736492015,sanitation optimized
optimumWash,8149.557124301301,9336.401337314535,4488.004049165887,10904.35843133604,watsan optimized
optimumWat,5384.359318883867,6217.986346282763,3023.845738669409,6952.525744544754,water optimized
