alloc_strategy,median,mean,ci_lower,ci_upper
allDistrict,2.7366320414297522,2.7365085947777255,2.7334754578524487,2.7387418236897196
hrDistrict2,25.404059951151414,25.339621965737617,24.7392981276701,26.0578811764591
hrDistrict2Incid,25.453147357698022,25.38949008608766,24.801349329718207,26.10643870837367
optimumDistrict,28.816210714751012,28.49715453584561,26.835100773787484,29.53635310890042
optimumDistrictIncid,34.215464138738305,34.08949456993586,33.21796875087174,34.88062489397761
optimumSan,4.549022471543971,4.515643255329167,4.297923760335682,4.642400825605141
optimumWash,8.185101384735042,8.1301443906572,7.805298483342231,8.324099821605195
optimumWat,11.283270529019902,11.267120058230269,11.07443986599036,11.448968493991437
