alloc_strategy,mean_costper,median_costper,q025_costper,q975_costper,plot_alloc_strategy
allDistrict,21213.376138420303,24488.37055516871,11952.68710866669,27263.099515198923,untargeted
hrDistrict2,2393.0481989897485,2760.698293090267,1331.955587115418,3115.6338367584867,case-logistics optimized
hrDistrict2Incid,2382.851661765102,2748.0061710096907,1327.076916615862,3102.372412750449,rate-logistics optimized
optimumDistrict,2157.9588383650125,2464.393227613767,1198.7396808278386,2877.5865495638104,case optimized
optimumDistrictIncid,1842.6899547259343,2129.540364798887,1031.6567743372102,2381.7044225607515,rate optimized
optimumSan,16545.551415134534,18874.330364742167,9121.453392519408,22243.0640454706,sanitation optimized
optimumWash,8163.625846732386,9352.576728925778,4495.73551724717,10923.06019077888,watsan optimized
optimumWat,5394.149324598631,6229.295017650342,3029.3450299512715,6965.164778439741,water optimized
