alloc_strategy,mean_costper,median_costper,q025_costper,q975_costper,plot_alloc_strategy
allDistrict,21371.864319554417,24671.341298918393,12041.973757101821,27466.777129638347,untargeted
hrDistrict2,3748.328492575906,4324.790829799657,2086.373971245965,4879.973769243808,case-logistics optimized
hrDistrict2Incid,3733.2430140402753,4307.838586720565,2079.1789844661726,4859.128562918106,rate-logistics optimized
optimumDistrict,3368.585527266511,3847.8740717003966,1870.6722540154806,4491.6381727171065,case optimized
optimumDistrictIncid,2890.1796662128495,3339.850520082833,1618.2834647047796,3735.6607648503905,rate optimized
optimumSan,25965.626109048222,29620.643283121775,14314.943799664958,34927.27829306958,sanitation optimized
optimumWash,12786.37165932129,14644.115976513149,7037.669740423309,17124.84324253577,watsan optimized
optimumWat,8476.236735849547,9786.719029903381,4761.928932911044,10942.619746157976,water optimized
